epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7567,6.44647,11.3236,8.60442,0,0,0,0,5.82058,12.0235,8.31663,5.001e-05,5.001e-05,5.001e-05
2,135.12,6.83375,11.1563,8.66516,0,0,0,0,5.82025,12.0176,8.31499,0.000112839,0.000112839,0.000112839
3,195.333,6.39272,10.612,8.47938,0,0,0,0,5.82051,12.0094,8.31272,0.000171268,0.000171268,0.000171268
4,258.505,6.72168,10.771,8.4542,0,0,0,0,5.82021,12.0008,8.30965,0.000225295,0.000225295,0.000225295
5,318.645,7.26213,13.1698,8.34081,0,0,0,0,5.8201,11.9954,8.30714,0.000274922,0.000274922,0.000274922
6,381.583,6.48091,10.6033,8.42986,0,0,0,0,5.81905,11.9894,8.30307,0.000320147,0.000320147,0.000320147
7,446.818,7.13376,11.8616,8.33106,0,0,0,0,5.81827,11.9831,8.29754,0.000360972,0.000360972,0.000360972
8,513.243,6.56694,10.0987,8.37963,0,0,0,0,5.81415,11.972,8.28928,0.000397396,0.000397396,0.000397396
9,574.532,6.19385,10.2797,8.40774,0,0,0,0,5.80856,11.959,8.28105,0.000429419,0.000429419,0.000429419
10,636.203,6.58727,10.0097,8.34086,0,0,0,0,5.80374,11.9409,8.26901,0.000457041,0.000457041,0.000457041
11,697.167,6.33293,10.8606,8.34123,0,0,0,0,5.79184,11.9185,8.25537,0.000480263,0.000480263,0.000480263
12,760.829,6.57093,10.0713,8.33887,0,0,0,0,5.78577,11.8856,8.23797,0.000499083,0.000499083,0.000499083
13,822.412,6.15555,9.87673,8.32579,0,0,0,0,5.78242,11.8388,8.21672,0.000513503,0.000513503,0.000513503
14,885.494,6.46453,10.4217,8.28592,0,0,0,0,5.78134,11.8052,8.19514,0.000523521,0.000523521,0.000523521
15,946.566,6.39167,10.1007,8.2021,0,0,0,0,5.7706,11.7379,8.15185,0.000529139,0.000529139,0.000529139
16,1009.96,6.71865,9.85891,8.26517,0,0,0,0,5.76239,11.7057,8.13665,0.000530356,0.000530356,0.000530356
17,1071.77,6.8459,10.6203,8.21133,0,0,0,0,5.76176,11.6671,8.11722,0.000527172,0.000527172,0.000527172
18,1131.98,6.63872,10.4956,8.18677,0,0,0,0,5.74294,11.5723,8.07554,0.000519587,0.000519587,0.000519587
19,1195.52,6.61613,10.1598,8.16702,0,0,0,0,5.71761,11.4852,8.01163,0.000507602,0.000507602,0.000507602
20,1249.65,5.9439,9.49895,8.08984,0,0,0,0,5.71414,11.4048,7.95391,0.000491215,0.000491215,0.000491215
21,1388.61,6.02728,10.8059,8.00526,0.00619,0.32544,0.00743,0.00246,5.69153,11.2899,7.92903,0.000470427,0.000470427,0.000470427
22,1450.23,5.80854,10.9089,8.01766,0.00557,0.32544,0.00742,0.00241,5.68355,11.2253,7.9237,0.000445239,0.000445239,0.000445239
23,1520.97,5.7843,10.7334,7.85584,0.00522,0.33728,0.0078,0.00242,5.69685,11.1274,7.84896,0.00041565,0.00041565,0.00041565
24,1587.8,6.12523,10.8418,7.90866,0.00514,0.38462,0.00836,0.00268,5.70349,10.998,7.64676,0.00038166,0.00038166,0.00038166
25,1660.94,5.97472,10.712,7.90893,0.00551,0.4142,0.01187,0.00318,5.68638,10.8938,7.51364,0.000343269,0.000343269,0.000343269
26,1731.79,6.09171,10.7917,7.79961,0.00555,0.42012,0.02044,0.00496,5.68566,10.8088,7.44042,0.000291725,0.000291725,0.000291725
27,1804.67,6.059,11.6377,7.84395,0.00562,0.42604,0.02491,0.00546,5.65704,10.7593,7.40126,0.000236714,0.000236714,0.000236714
28,1867.63,5.64729,10.1058,7.74963,0.00594,0.4497,0.02231,0.00502,5.64099,10.7079,7.34426,0.000181703,0.000181703,0.000181703
29,1927.51,6.19708,10.8751,7.84929,0.00602,0.45562,0.01508,0.00398,5.62555,10.6594,7.29874,0.000126692,0.000126692,0.000126692
30,1987.42,5.52229,10.6009,7.68185,0.00592,0.4497,0.01302,0.00394,5.60715,10.6074,7.27323,7.1681e-05,7.1681e-05,7.1681e-05
