epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.3591,0.69383,0.614,1,0.67897,0.000554185,0.000554185,0.000554185
2,114.881,0.68234,0.648,1,0.65318,0.00109886,0.00109886,0.00109886
3,169.144,0.65248,0.73,1,0.62308,0.00163254,0.00163254,0.00163254
4,222.725,0.65448,0.531,1,0.70543,0.00161749,0.00161749,0.00161749
5,276.191,0.5325,0.5,1,1.11024,0.00160099,0.00160099,0.00160099
6,329.648,0.36856,0.499,1,2.00257,0.00158448,0.00158448,0.00158448
7,383.184,0.31561,0.537,1,1.36732,0.00156798,0.00156798,0.00156798
8,437.458,0.26647,0.47,1,1.05955,0.00155148,0.00155148,0.00155148
9,491.402,0.30096,0.506,1,1.35011,0.00153497,0.00153497,0.00153497
10,545.21,0.26068,0.52,1,1.55601,0.00151847,0.00151847,0.00151847
11,598.79,0.23564,0.501,1,1.20887,0.00150197,0.00150197,0.00150197
12,652.066,0.21828,0.514,1,1.86145,0.00148546,0.00148546,0.00148546
13,705.543,0.20981,0.554,1,1.68826,0.00146896,0.00146896,0.00146896
14,759.258,0.19731,0.51,1,1.57148,0.00145246,0.00145246,0.00145246
15,813.035,0.18217,0.504,1,1.8038,0.00143595,0.00143595,0.00143595
16,867.181,0.20718,0.571,1,1.03803,0.00141945,0.00141945,0.00141945
17,921.937,0.1681,0.583,1,1.35734,0.00140295,0.00140295,0.00140295
18,975.584,0.15542,0.512,1,1.21915,0.00138644,0.00138644,0.00138644
19,1028.45,0.14719,0.647,1,1.1732,0.00136994,0.00136994,0.00136994
20,1082.05,0.12888,0.567,1,1.25382,0.00135344,0.00135344,0.00135344
21,1135.45,0.1532,0.579,1,1.77865,0.00133693,0.00133693,0.00133693
22,1189.5,0.14811,0.537,1,1.63209,0.00132043,0.00132043,0.00132043
23,1243.8,0.14678,0.53,1,1.37549,0.00130393,0.00130393,0.00130393
24,1298.41,0.11737,0.589,1,1.3689,0.00128742,0.00128742,0.00128742
25,1352.35,0.14946,0.505,1,1.71005,0.00127092,0.00127092,0.00127092
26,1405.59,0.13107,0.502,1,1.88349,0.00125442,0.00125442,0.00125442
27,1458.85,0.13187,0.5,1,1.6798,0.00123791,0.00123791,0.00123791
28,1512.81,0.15968,0.5,1,1.68714,0.00122141,0.00122141,0.00122141
29,1566.05,0.13288,0.522,1,1.4953,0.00120491,0.00120491,0.00120491
30,1619.39,0.14648,0.532,1,1.33264,0.0011884,0.0011884,0.0011884
31,1673.77,0.11988,0.704,1,1.10083,0.0011719,0.0011719,0.0011719
32,1726.97,0.12311,0.667,1,1.54587,0.0011554,0.0011554,0.0011554
33,1780.55,0.10886,0.57,1,1.58157,0.00113889,0.00113889,0.00113889
34,1834,0.10992,0.508,1,2.03126,0.00112239,0.00112239,0.00112239
35,1889.37,0.11962,0.558,1,1.60283,0.00110589,0.00110589,0.00110589
36,1942.98,0.12711,0.585,1,1.65129,0.00108938,0.00108938,0.00108938
37,1995.74,0.11326,0.551,1,1.61301,0.00107288,0.00107288,0.00107288
38,2048.46,0.08881,0.57,1,1.8919,0.00105638,0.00105638,0.00105638
39,2101.52,0.09982,0.597,1,1.23836,0.00103987,0.00103987,0.00103987
40,2154.56,0.09621,0.654,1,1.01235,0.00102337,0.00102337,0.00102337
41,2208.08,0.13337,0.533,1,1.67724,0.00100687,0.00100687,0.00100687
42,2261.88,0.10016,0.631,1,1.44019,0.000990365,0.000990365,0.000990365
43,2315.25,0.09549,0.6,1,1.83684,0.000973861,0.000973861,0.000973861
44,2368.66,0.0976,0.626,1,1.16254,0.000957358,0.000957358,0.000957358
45,2422.6,0.08344,0.597,1,1.11341,0.000940855,0.000940855,0.000940855
46,2476.48,0.11273,0.615,1,1.41892,0.000924352,0.000924352,0.000924352
47,2530.71,0.08884,0.593,1,1.68531,0.000907848,0.000907848,0.000907848
48,2585.3,0.09907,0.589,1,1.6188,0.000891345,0.000891345,0.000891345
49,2639.15,0.11018,0.58,1,1.52358,0.000874842,0.000874842,0.000874842
50,2692.85,0.0776,0.649,1,1.10386,0.000858338,0.000858338,0.000858338
51,2746.77,0.08633,0.672,1,1.11183,0.000841835,0.000841835,0.000841835
52,2800.42,0.0962,0.669,1,1.17627,0.000825332,0.000825332,0.000825332
53,2853.72,0.06809,0.659,1,1.35258,0.000808828,0.000808828,0.000808828
54,2906.99,0.10797,0.584,1,1.44628,0.000792325,0.000792325,0.000792325
