epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.1433,0.70898,0.534,1,0.76503,0.000551221,0.000551221,0.000551221
2,24.1136,0.69738,0.57,1,0.67693,0.00109593,0.00109593,0.00109593
3,34.8139,0.67643,0.672,1,0.86448,0.00162964,0.00162964,0.00162964
4,45.6306,0.69157,0.602,1,0.64809,0.00161749,0.00161749,0.00161749
5,57.7893,0.65954,0.534,1,0.8978,0.00160099,0.00160099,0.00160099
6,68.3791,0.59817,0.472,1,0.8465,0.00158448,0.00158448,0.00158448
7,78.9711,0.49619,0.5,1,1.23883,0.00156798,0.00156798,0.00156798
8,90.9577,0.40754,0.568,1,1.45349,0.00155148,0.00155148,0.00155148
9,101.557,0.4038,0.522,1,1.5887,0.00153497,0.00153497,0.00153497
10,112.144,0.33104,0.516,1,1.70338,0.00151847,0.00151847,0.00151847
11,124.22,0.31922,0.522,1,1.74547,0.00150197,0.00150197,0.00150197
12,134.734,0.28916,0.566,1,1.35126,0.00148546,0.00148546,0.00148546
13,145.388,0.27961,0.546,1,1.80577,0.00146896,0.00146896,0.00146896
14,157.176,0.28701,0.516,1,0.93286,0.00145246,0.00145246,0.00145246
15,167.754,0.29688,0.498,1,1.42368,0.00143595,0.00143595,0.00143595
16,178.32,0.2441,0.492,1,1.63539,0.00141945,0.00141945,0.00141945
17,188.985,0.22405,0.508,1,1.5965,0.00140295,0.00140295,0.00140295
18,201.063,0.25153,0.528,1,1.82977,0.00138644,0.00138644,0.00138644
19,211.849,0.20641,0.546,1,2.14247,0.00136994,0.00136994,0.00136994
20,222.612,0.22862,0.554,1,1.91415,0.00135344,0.00135344,0.00135344
21,234.749,0.21997,0.5,1,1.48967,0.00133693,0.00133693,0.00133693
22,245.565,0.28451,0.528,1,1.44206,0.00132043,0.00132043,0.00132043
23,256.335,0.20204,0.56,1,1.52785,0.00130393,0.00130393,0.00130393
24,268.235,0.21268,0.502,1,2.14108,0.00128742,0.00128742,0.00128742
25,279.266,0.15861,0.504,1,1.98013,0.00127092,0.00127092,0.00127092
26,289.858,0.19955,0.54,1,1.55455,0.00125442,0.00125442,0.00125442
27,302.064,0.22306,0.536,1,1.16411,0.00123791,0.00123791,0.00123791
28,312.652,0.20665,0.554,1,1.60376,0.00122141,0.00122141,0.00122141
29,323.1,0.23034,0.576,1,1.26595,0.00120491,0.00120491,0.00120491
30,335.158,0.1285,0.526,1,2.28456,0.0011884,0.0011884,0.0011884
31,345.635,0.16553,0.524,1,2.16333,0.0011719,0.0011719,0.0011719
32,356.281,0.18355,0.628,1,1.75548,0.0011554,0.0011554,0.0011554
33,368.587,0.21012,0.644,1,0.76324,0.00113889,0.00113889,0.00113889
34,379.319,0.13802,0.528,1,2.47073,0.00112239,0.00112239,0.00112239
35,390.128,0.2093,0.5,1,1.39619,0.00110589,0.00110589,0.00110589
36,402.306,0.14812,0.51,1,2.63591,0.00108938,0.00108938,0.00108938
37,413.093,0.18235,0.514,1,1.34244,0.00107288,0.00107288,0.00107288
38,423.933,0.17922,0.558,1,2.51282,0.00105638,0.00105638,0.00105638
39,436.05,0.17989,0.5,1,1.55344,0.00103987,0.00103987,0.00103987
40,446.963,0.13982,0.53,1,2.22178,0.00102337,0.00102337,0.00102337
41,457.552,0.13785,0.534,1,1.90591,0.00100687,0.00100687,0.00100687
42,469.533,0.12675,0.546,1,1.58583,0.000990365,0.000990365,0.000990365
43,480.077,0.11932,0.566,1,1.83586,0.000973861,0.000973861,0.000973861
44,490.724,0.12067,0.628,1,1.4988,0.000957358,0.000957358,0.000957358
45,502.913,0.1834,0.508,1,1.85836,0.000940855,0.000940855,0.000940855
46,513.525,0.13405,0.516,1,2.2103,0.000924352,0.000924352,0.000924352
47,524.102,0.12179,0.614,1,1.23746,0.000907848,0.000907848,0.000907848
48,536.355,0.15484,0.608,1,1.6282,0.000891345,0.000891345,0.000891345
49,547.058,0.10333,0.562,1,1.86507,0.000874842,0.000874842,0.000874842
50,557.789,0.13599,0.574,1,1.60657,0.000858338,0.000858338,0.000858338
51,569.971,0.12772,0.604,1,1.48735,0.000841835,0.000841835,0.000841835
52,580.671,0.1434,0.538,1,1.51923,0.000825332,0.000825332,0.000825332
53,591.417,0.12988,0.524,1,1.96016,0.000808828,0.000808828,0.000808828
54,603.352,0.13143,0.57,1,1.81563,0.000792325,0.000792325,0.000792325
55,613.77,0.10535,0.562,1,1.935,0.000775822,0.000775822,0.000775822
56,624.344,0.08978,0.534,1,2.29797,0.000759318,0.000759318,0.000759318
57,636.541,0.10392,0.56,1,2.22635,0.000742815,0.000742815,0.000742815
58,647.097,0.10532,0.57,1,1.7334,0.000726312,0.000726312,0.000726312
59,657.559,0.07822,0.564,1,1.64203,0.000709809,0.000709809,0.000709809
60,669.461,0.13153,0.612,1,1.47956,0.000693305,0.000693305,0.000693305
61,679.801,0.11944,0.572,1,2.08505,0.000676802,0.000676802,0.000676802
62,690.184,0.09874,0.612,1,1.60542,0.000660299,0.000660299,0.000660299
63,702.118,0.08675,0.56,1,1.92636,0.000643795,0.000643795,0.000643795
64,712.847,0.0963,0.594,1,1.63799,0.000627292,0.000627292,0.000627292
65,723.496,0.09156,0.568,1,2.46039,0.000610789,0.000610789,0.000610789
66,735.824,0.08263,0.576,1,2.24135,0.000594286,0.000594286,0.000594286
67,746.576,0.09724,0.6,1,1.36021,0.000577782,0.000577782,0.000577782
68,757.111,0.10039,0.618,1,1.22189,0.000561279,0.000561279,0.000561279
69,769.468,0.12773,0.616,1,1.46716,0.000544776,0.000544776,0.000544776
70,780.203,0.0923,0.624,1,1.7087,0.000528272,0.000528272,0.000528272
71,791.074,0.07567,0.592,1,1.73202,0.000511769,0.000511769,0.000511769
72,803.142,0.07664,0.592,1,1.67499,0.000495266,0.000495266,0.000495266
73,813.572,0.07617,0.578,1,1.91782,0.000478762,0.000478762,0.000478762
74,824.015,0.08036,0.614,1,1.55964,0.000462259,0.000462259,0.000462259
75,835.954,0.07894,0.6,1,2.20702,0.000445756,0.000445756,0.000445756
76,846.419,0.08977,0.68,1,1.36807,0.000429253,0.000429253,0.000429253
77,856.98,0.07405,0.574,1,1.65239,0.000412749,0.000412749,0.000412749
78,869.112,0.09198,0.602,1,1.50377,0.000396246,0.000396246,0.000396246
79,879.559,0.07356,0.588,1,1.59897,0.000379743,0.000379743,0.000379743
80,890.067,0.08799,0.568,1,1.88768,0.000363239,0.000363239,0.000363239
81,902.161,0.08048,0.612,1,1.4079,0.000346736,0.000346736,0.000346736
82,912.547,0.09045,0.574,1,1.65729,0.000330233,0.000330233,0.000330233
83,923.28,0.07244,0.598,1,1.4073,0.000313729,0.000313729,0.000313729
84,935.388,0.05971,0.588,1,1.63126,0.000297226,0.000297226,0.000297226
85,945.935,0.04494,0.624,1,1.56694,0.000280723,0.000280723,0.000280723
86,956.294,0.0431,0.672,1,1.56468,0.00026422,0.00026422,0.00026422
87,968.437,0.06834,0.652,1,1.53482,0.000247716,0.000247716,0.000247716
88,978.846,0.04911,0.61,1,1.97107,0.000231213,0.000231213,0.000231213
89,989.44,0.04042,0.604,1,1.98684,0.00021471,0.00021471,0.00021471
90,1001.79,0.07751,0.6,1,1.73776,0.000198206,0.000198206,0.000198206
91,1013.24,0.08485,0.584,1,1.46203,0.000181703,0.000181703,0.000181703
92,1023.83,0.03987,0.578,1,1.73414,0.0001652,0.0001652,0.0001652
93,1036.09,0.05345,0.594,1,1.69328,0.000148696,0.000148696,0.000148696
94,1046.47,0.06231,0.584,1,1.61552,0.000132193,0.000132193,0.000132193
95,1056.87,0.056,0.596,1,1.83006,0.00011569,0.00011569,0.00011569
96,1069.07,0.07283,0.598,1,1.6792,9.91865e-05,9.91865e-05,9.91865e-05
97,1079.44,0.04004,0.582,1,1.88487,8.26832e-05,8.26832e-05,8.26832e-05
98,1089.91,0.04782,0.588,1,1.808,6.61799e-05,6.61799e-05,6.61799e-05
99,1102.31,0.05039,0.604,1,1.80122,4.96766e-05,4.96766e-05,4.96766e-05
100,1112.89,0.06966,0.612,1,1.66576,3.31733e-05,3.31733e-05,3.31733e-05
