epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.575,6.30811,8.60573,7.7446,0.00182,0.49805,0.00158,0.00038,6.27407,10.2305,7.15206,0.000554185,0.000554185,0.000554185
2,616.638,5.18375,6.92931,6.01829,0.0015,0.4269,0.00905,0.00285,5.24164,8.9652,6.29729,0.00109886,0.00109886,0.00109886
3,922.719,4.76031,6.69112,5.50447,0.31454,0.0653,0.06879,0.02253,4.82622,8.33839,5.76868,0.00163254,0.00163254,0.00163254
4,1229.11,4.4392,6.40583,5.15304,0.06461,0.04288,0.01924,0.00457,5.3089,8.02917,6.18237,0.00161749,0.00161749,0.00161749
5,1530.46,4.21368,6.16884,4.91909,0.16401,0.2076,0.0776,0.02327,4.67267,6.69701,5.67916,0.00160099,0.00160099,0.00160099
6,1830.03,4.0156,5.85362,4.70943,0.39127,0.24366,0.23629,0.0885,4.39082,6.56365,5.30191,0.00158448,0.00158448,0.00158448
7,2129.58,3.90725,5.65219,4.58271,0.31055,0.22222,0.1532,0.0538,4.43388,6.53187,5.31744,0.00156798,0.00156798,0.00156798
8,2434.95,3.7966,5.50627,4.48588,0.32389,0.19201,0.1748,0.07552,4.44219,5.9705,5.32352,0.00155148,0.00155148,0.00155148
9,2737.8,3.6979,5.31702,4.38171,0.34872,0.24561,0.22147,0.10433,4.32724,5.59629,5.26157,0.00153497,0.00153497,0.00153497
10,3042.52,3.65993,5.19989,4.31545,0.24623,0.29337,0.21605,0.09546,4.41564,5.58126,5.15496,0.00151847,0.00151847,0.00151847
11,5563.34,3.59274,5.06907,4.23161,0.38627,0.2807,0.25635,0.12985,4.28287,5.49931,5.10337,0.00150197,0.00150197,0.00150197
12,5880.43,3.55524,5.08232,4.2062,0.31146,0.31969,0.22662,0.11388,4.23133,5.2738,5.08156,0.00148546,0.00148546,0.00148546
13,6191.18,3.50557,4.95823,4.14484,0.33772,0.34503,0.27463,0.11526,4.40118,5.17275,5.22672,0.00146896,0.00146896,0.00146896
14,6497.57,3.4364,4.8577,4.07443,0.39998,0.31969,0.28645,0.13826,4.16287,5.4013,5.03029,0.00145246,0.00145246,0.00145246
15,6797.15,3.41248,4.82708,4.05824,0.42106,0.23294,0.24123,0.11868,4.4031,5.57484,5.22076,0.00143595,0.00143595,0.00143595
16,7096.44,3.3776,4.7515,4.02001,0.32364,0.34326,0.26036,0.14072,4.32631,5.35667,5.1719,0.00141945,0.00141945,0.00141945
17,7395.78,3.34841,4.70263,3.97052,0.30264,0.29045,0.2562,0.13623,4.34868,5.45292,5.19951,0.00140295,0.00140295,0.00140295
18,7694.46,3.31493,4.6648,3.9485,0.29564,0.35965,0.30766,0.15438,4.25852,5.32795,5.10791,0.00138644,0.00138644,0.00138644
19,7992.98,3.2955,4.64695,3.9365,0.34979,0.3577,0.29188,0.16252,4.40753,5.13689,5.26397,0.00136994,0.00136994,0.00136994
20,8292.14,3.25641,4.60404,3.89818,0.30764,0.40741,0.30153,0.15532,4.5026,5.1458,5.39006,0.00135344,0.00135344,0.00135344
21,8591.15,3.26103,4.53237,3.88364,0.27842,0.31579,0.26706,0.14356,4.53619,5.36698,5.3361,0.00133693,0.00133693,0.00133693
22,8889.51,3.21047,4.51128,3.85186,0.34088,0.34308,0.25006,0.13134,4.37775,5.09378,5.25751,0.00132043,0.00132043,0.00132043
23,9188.12,3.19366,4.44718,3.83629,0.29536,0.346,0.23695,0.11545,4.35011,5.43455,5.22077,0.00130393,0.00130393,0.00130393
24,9487.18,3.18189,4.43619,3.8045,0.3268,0.26827,0.19449,0.09886,4.45359,5.54018,5.26646,0.00128742,0.00128742,0.00128742
25,9785.54,3.14763,4.40143,3.78234,0.31929,0.3959,0.27888,0.15305,4.41681,5.06057,5.1694,0.00127092,0.00127092,0.00127092
26,10084.4,3.13284,4.4077,3.77021,0.33912,0.32456,0.27646,0.14589,4.46551,5.14799,5.27773,0.00125442,0.00125442,0.00125442
27,10382.6,3.07989,4.31216,3.74366,0.33232,0.39571,0.26187,0.12637,4.37707,5.25262,5.30424,0.00123791,0.00123791,0.00123791
28,10681.6,3.06869,4.25889,3.69084,0.32602,0.38402,0.25134,0.12087,4.36161,5.11312,5.26769,0.00122141,0.00122141,0.00122141
29,10980.1,3.09704,4.27942,3.72142,0.30046,0.39864,0.25385,0.13047,4.33628,5.39514,5.22741,0.00120491,0.00120491,0.00120491
30,11278.3,3.03281,4.21538,3.67434,0.31105,0.36257,0.25704,0.13489,4.34882,5.11912,5.19883,0.0011884,0.0011884,0.0011884
31,11577.2,3.00496,4.1486,3.66033,0.33439,0.42495,0.27616,0.1398,4.38932,5.23685,5.26737,0.0011719,0.0011719,0.0011719
32,11875.8,3.02574,4.18598,3.68062,0.37618,0.32066,0.26573,0.14085,4.17234,5.08408,5.14022,0.0011554,0.0011554,0.0011554
33,12173.7,2.97014,4.07306,3.62553,0.3176,0.41813,0.27274,0.14396,4.4539,5.10048,5.44509,0.00113889,0.00113889,0.00113889
34,12472,2.96706,4.02388,3.62177,0.35308,0.39738,0.27711,0.14658,4.40739,5.11416,5.44859,0.00112239,0.00112239,0.00112239
35,12770.6,2.95969,4.05326,3.61642,0.30998,0.39181,0.25227,0.12588,4.38887,5.21385,5.3398,0.00110589,0.00110589,0.00110589
36,13069.6,2.92857,3.99173,3.59257,0.35163,0.39766,0.27054,0.14573,4.41286,5.21056,5.26616,0.00108938,0.00108938,0.00108938
37,13368.1,2.93013,3.97387,3.5757,0.35285,0.42885,0.28299,0.14396,4.59223,5.1416,5.5153,0.00107288,0.00107288,0.00107288
38,13666.7,2.91197,3.95366,3.56438,0.39656,0.33041,0.28581,0.13735,4.73957,5.03457,5.76588,0.00105638,0.00105638,0.00105638
39,13965.6,2.90538,3.90704,3.53959,0.36115,0.42885,0.29583,0.14681,4.50116,5.1065,5.48018,0.00103987,0.00103987,0.00103987
40,14264.1,2.85266,3.85725,3.5104,0.34421,0.39376,0.26615,0.12703,4.52208,5.42774,5.5784,0.00102337,0.00102337,0.00102337
41,14562.9,2.84631,3.85519,3.50127,0.42072,0.4269,0.32688,0.17718,4.40054,4.98513,5.28337,0.00100687,0.00100687,0.00100687
42,14861.5,2.82967,3.84835,3.50134,0.36706,0.4152,0.27291,0.14015,4.57847,5.15755,5.4358,0.000990365,0.000990365,0.000990365
43,15163.5,2.84347,3.83906,3.50842,0.36795,0.43567,0.29173,0.15354,4.51672,5.08917,5.47823,0.000973861,0.000973861,0.000973861
44,15462.2,2.81109,3.75604,3.47415,0.38124,0.40643,0.28762,0.14714,4.5266,5.018,5.39019,0.000957358,0.000957358,0.000957358
45,15761.4,2.81302,3.78065,3.47481,0.40235,0.31871,0.27092,0.12201,4.50636,5.2562,5.49274,0.000940855,0.000940855,0.000940855
46,16059.3,2.80489,3.74966,3.46223,0.34856,0.46004,0.28402,0.13797,4.57855,5.21084,5.63265,0.000924352,0.000924352,0.000924352
47,16357.8,2.78645,3.77691,3.45758,0.33449,0.42885,0.26828,0.1363,4.46456,5.21721,5.37322,0.000907848,0.000907848,0.000907848
48,16655.9,2.74641,3.69134,3.41463,0.37482,0.5,0.29061,0.13691,4.55055,5.07529,5.51311,0.000891345,0.000891345,0.000891345
49,16954.7,2.72017,3.61643,3.37493,0.3522,0.40253,0.28231,0.14344,4.58459,5.11,5.43373,0.000874842,0.000874842,0.000874842
50,17253.5,2.75346,3.66225,3.40926,0.41996,0.46296,0.31618,0.15065,4.54613,4.99915,5.54155,0.000858338,0.000858338,0.000858338
