epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.172,6.58083,7.94646,7.57249,0.00259,0.77183,0.0052,0.00113,5.80313,9.35533,6.77965,0.000555111,0.000555111,0.000555111
1,236.756,6.58083,7.94646,7.57249,0.00259,0.77183,0.0052,0.00113,5.80313,9.35533,6.77965,0.000555111,0.000555111,0.000555111
2,466.606,5.32006,6.75289,5.9763,0.00248,0.7381,0.00772,0.0018,5.35533,8.922,5.76073,0.00109978,0.00109978,0.00109978
3,694.946,4.96689,6.48349,5.45605,0.03873,0.31548,0.05586,0.01736,5.23393,8.1664,5.64564,0.00163345,0.00163345,0.00163345
4,923.14,4.7104,6.30632,5.19747,0.30166,0.05754,0.07062,0.02077,5.03824,8.30692,5.79334,0.00161749,0.00161749,0.00161749
5,1149.89,4.50117,6.13636,5.01377,0.27245,0.0873,0.0898,0.03229,4.75335,7.85181,5.57202,0.00160099,0.00160099,0.00160099
6,1381.36,4.39623,6.02701,4.90304,0.12673,0.11706,0.09798,0.03202,4.6419,7.0096,5.41338,0.00158448,0.00158448,0.00158448
7,1609.93,4.31304,5.88325,4.81234,0.24277,0.1746,0.14242,0.06361,4.5235,7.20184,5.19526,0.00156798,0.00156798,0.00156798
8,1842.2,4.2532,5.80569,4.71869,0.37377,0.21553,0.18717,0.08705,4.49465,6.23022,5.23356,0.00155148,0.00155148,0.00155148
9,2075.55,4.17278,5.75948,4.64014,0.24002,0.16865,0.12575,0.04936,4.53157,7.02917,5.27741,0.00153497,0.00153497,0.00153497
10,2306.03,4.11751,5.70985,4.60718,0.37953,0.25,0.20435,0.08584,4.54586,6.38264,5.22292,0.00151847,0.00151847,0.00151847
11,2536.44,4.03148,5.52425,4.5423,0.40423,0.25595,0.24721,0.1226,4.27919,5.7035,5.19638,0.00150197,0.00150197,0.00150197
12,2766.92,4.01902,5.51721,4.51771,0.41661,0.27183,0.26573,0.13004,4.6227,5.80284,5.31768,0.00148546,0.00148546,0.00148546
13,3000.01,4.01711,5.47268,4.4938,0.39885,0.29356,0.29355,0.13714,4.43645,5.85522,5.20793,0.00146896,0.00146896,0.00146896
14,3236.83,3.91815,5.33444,4.42154,0.5476,0.24206,0.28975,0.15058,4.43376,6.36589,5.31357,0.00145246,0.00145246,0.00145246
15,3471.78,3.89214,5.33962,4.40239,0.28822,0.37103,0.28148,0.14285,4.54309,5.73924,5.33797,0.00143595,0.00143595,0.00143595
16,3705.37,3.85697,5.30483,4.36597,0.34956,0.34921,0.28521,0.11079,4.65086,6.10436,5.31206,0.00141945,0.00141945,0.00141945
17,3940.64,3.84092,5.25196,4.33992,0.36782,0.32738,0.25708,0.13527,4.34343,5.58294,5.04765,0.00140295,0.00140295,0.00140295
18,4177.48,3.83549,5.21582,4.32954,0.40818,0.36111,0.3268,0.16955,4.34955,5.44151,5.09686,0.00138644,0.00138644,0.00138644
19,4412.79,3.83451,5.24806,4.30961,0.3228,0.34325,0.31489,0.13068,4.64769,5.70554,5.33638,0.00136994,0.00136994,0.00136994
20,4648.51,3.77791,5.14952,4.29506,0.35209,0.40476,0.34346,0.17626,4.45817,5.3315,5.2513,0.00135344,0.00135344,0.00135344
21,4880.87,3.73511,5.03033,4.24228,0.37355,0.38889,0.3273,0.17059,4.42984,5.25972,5.11767,0.00133693,0.00133693,0.00133693
22,5111.54,3.70007,5.06754,4.21631,0.57178,0.30754,0.34411,0.19089,4.55175,5.4381,5.31487,0.00132043,0.00132043,0.00132043
23,5346.89,3.71018,5.01609,4.22652,0.44941,0.38868,0.35641,0.18519,4.32008,5.55167,5.14474,0.00130393,0.00130393,0.00130393
24,5581.27,3.69814,4.9628,4.17149,0.42362,0.38095,0.34312,0.17522,4.3982,5.34925,5.10326,0.00128742,0.00128742,0.00128742
