epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.177,6.54072,11.2332,8.49376,0,0,0,0,6.1124,12.561,8.31083,0.00020004,0.00020004,0.00020004
2,957.374,6.5739,10.8684,8.42499,0,0,0,0,6.10895,12.5328,8.29484,0.000402997,0.000402997,0.000402997
3,1255.37,6.51117,10.4957,8.33411,0,0,0,0,6.08772,12.4478,8.2531,0.000591652,0.000591652,0.000591652
4,1554.84,6.46179,10.3856,8.24918,0,0,0,0,5.99919,12.245,8.14406,0.000766003,0.000766003,0.000766003
5,1813.91,6.57394,10.179,8.15798,0,0,0,0,5.91071,11.9597,7.95551,0.000926052,0.000926052,0.000926052
6,2020.68,6.349,9.65474,8.02408,0.00559,0.25512,0.01235,0.00375,5.86223,11.3657,7.44311,0.0010718,0.0010718,0.0010718
7,2225.79,6.42292,9.64961,7.87865,0.00818,0.2189,0.0115,0.00327,6.15323,11.4365,7.89714,0.00120324,0.00120324,0.00120324
8,2425.01,6.37711,9.33271,7.73052,0.00445,0.33228,0.00937,0.00293,5.8325,10.4688,7.19761,0.00128192,0.00128192,0.00128192
9,2622.9,6.17681,8.85964,7.51797,0.00443,0.29134,0.01044,0.00294,5.73575,10.3246,7.0023,0.00122691,0.00122691,0.00122691
10,2813.18,6.14312,8.60804,7.31845,0.00517,0.28189,0.00967,0.00272,5.7733,9.82503,6.84084,0.0011719,0.0011719,0.0011719
11,3017.05,6.08355,8.54297,7.17096,0.00427,0.30079,0.00653,0.00204,5.97734,10.2074,7.28593,0.00111689,0.00111689,0.00111689
12,3217.79,5.93358,8.21966,7.03086,0.00466,0.17165,0.00344,0.0011,5.96761,11.6438,8.06149,0.00106188,0.00106188,0.00106188
13,3411.32,5.92492,8.07841,6.93527,0.00524,0.29134,0.00674,0.00206,5.7647,13.891,7.77867,0.00100687,0.00100687,0.00100687
14,3593.9,5.79303,7.90253,6.7928,0.00608,0.31339,0.00765,0.00233,5.78595,9.6993,7.67002,0.000951857,0.000951857,0.000951857
15,3782.96,5.72765,7.96723,6.68456,0.00571,0.28661,0.00707,0.00213,5.74281,9.1139,7.27016,0.000896846,0.000896846,0.000896846
16,3962.53,5.54508,7.71901,6.50321,0.00646,0.32441,0.0069,0.00213,5.66873,8.91747,7.40771,0.000841835,0.000841835,0.000841835
17,4155.43,5.63919,7.7782,6.51435,0.0061,0.39843,0.00896,0.00273,5.60223,8.67014,6.91832,0.000786824,0.000786824,0.000786824
18,4346.7,5.5064,7.74471,6.3343,0.00555,0.42992,0.01111,0.00329,5.57685,8.57849,6.72902,0.000731813,0.000731813,0.000731813
19,4542.28,5.55414,7.79706,6.35389,0.00566,0.47087,0.01158,0.0034,5.55109,8.56837,6.53033,0.000676802,0.000676802,0.000676802
20,4754.08,5.43191,7.59698,6.24351,0.00561,0.50551,0.01005,0.00311,5.51449,8.675,6.29993,0.000621791,0.000621791,0.000621791
21,4953.75,5.50395,8.27737,6.21891,0.00611,0.54961,0.01183,0.00357,5.43675,8.61576,6.25455,0.00056678,0.00056678,0.00056678
22,5143.15,5.36568,8.18717,6.16727,0.00598,0.54331,0.01494,0.00431,5.39209,8.40421,6.12663,0.000511769,0.000511769,0.000511769
23,5330.25,5.49346,8.16954,6.15964,0.00593,0.53386,0.01495,0.00436,5.38661,8.25681,6.04927,0.000456758,0.000456758,0.000456758
24,5518.34,5.36173,8.05759,6.14165,0.00618,0.53228,0.01756,0.00532,5.27394,8.09862,5.99845,0.000401747,0.000401747,0.000401747
25,5715.93,5.31583,8.06204,6.13937,0.0062,0.53071,0.01936,0.0057,5.25287,8.04536,6.0117,0.000346736,0.000346736,0.000346736
26,5908.1,5.22971,8.04109,6.07186,0.00611,0.52913,0.02076,0.00611,5.22019,8.03401,6.00162,0.000291725,0.000291725,0.000291725
27,6105.64,5.12409,7.92903,6.00875,0.00602,0.53228,0.02181,0.00629,5.19017,8.02128,5.9526,0.000236714,0.000236714,0.000236714
28,6287.27,5.25425,7.95967,5.98979,0.00584,0.51969,0.02166,0.00636,5.17154,8.04315,5.91275,0.000181703,0.000181703,0.000181703
29,6468.85,5.15713,7.88684,5.9964,0.00584,0.52283,0.02194,0.00635,5.14169,8.05617,5.88828,0.000126692,0.000126692,0.000126692
30,6660.19,5.18108,7.84322,5.92165,0.00587,0.52441,0.02234,0.00636,5.15025,8.03522,5.88784,7.1681e-05,7.1681e-05,7.1681e-05
