epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.418,0.69439,0.5,1,0.69448,0.000555111,0.000555111,0.000555111
2,280.574,0.69535,0.466,1,0.98369,0.00109978,0.00109978,0.00109978
3,417.712,0.69549,0.5,1,0.64604,0.00163345,0.00163345,0.00163345
4,558.061,0.69178,0.46,1,0.69965,0.00161749,0.00161749,0.00161749
5,698.025,0.69437,0.504,1,0.68681,0.00160099,0.00160099,0.00160099
6,836.817,0.69378,0.632,1,0.68284,0.00158448,0.00158448,0.00158448
7,975.533,0.69437,0.566,1,0.69195,0.00156798,0.00156798,0.00156798
8,1113.02,0.69349,0.524,1,1.49343,0.00155148,0.00155148,0.00155148
9,1250.7,0.69563,0.618,1,0.68203,0.00153497,0.00153497,0.00153497
10,1389.16,0.69276,0.582,1,nan,0.00151847,0.00151847,0.00151847
11,1527.69,0.69246,0.47,1,0.73112,0.00150197,0.00150197,0.00150197
12,1665.95,0.69346,0.518,1,0.6937,0.00148546,0.00148546,0.00148546
13,1803.43,0.69285,0.538,1,0.6881,0.00146896,0.00146896,0.00146896
14,1940.23,0.69179,0.534,1,0.68435,0.00145246,0.00145246,0.00145246
15,2077.1,0.68775,0.668,1,nan,0.00143595,0.00143595,0.00143595
16,2213.8,0.68794,0.518,1,0.74949,0.00141945,0.00141945,0.00141945
17,2353,0.69004,0.53,1,nan,0.00140295,0.00140295,0.00140295
18,2491.51,0.68941,0.526,1,nan,0.00138644,0.00138644,0.00138644
19,2629.68,0.69331,0.532,1,0.69151,0.00136994,0.00136994,0.00136994
20,2768.8,0.68954,0.568,1,0.75709,0.00135344,0.00135344,0.00135344
21,2906.51,0.69095,0.62,1,0.65752,0.00133693,0.00133693,0.00133693
22,3045.71,0.69146,0.59,1,0.6649,0.00132043,0.00132043,0.00132043
23,3185.2,0.69206,0.61,1,0.62735,0.00130393,0.00130393,0.00130393
24,3323.92,0.68953,0.716,1,1.01625,0.00128742,0.00128742,0.00128742
25,3462.18,0.68622,0.564,1,0.67095,0.00127092,0.00127092,0.00127092
26,3600.03,0.69218,0.658,1,0.67046,0.00125442,0.00125442,0.00125442
27,3740.22,0.68786,0.642,1,0.66171,0.00123791,0.00123791,0.00123791
28,3878.12,0.69134,0.638,1,0.66728,0.00122141,0.00122141,0.00122141
29,4015.64,0.68787,0.662,1,0.65087,0.00120491,0.00120491,0.00120491
30,4153.97,0.69056,0.634,1,0.60802,0.0011884,0.0011884,0.0011884
31,4293.02,0.69152,0.704,1,0.66859,0.0011719,0.0011719,0.0011719
32,4431.53,0.68646,0.622,1,0.68543,0.0011554,0.0011554,0.0011554
33,4569.49,0.68687,0.664,1,0.64454,0.00113889,0.00113889,0.00113889
34,4714.25,0.68317,0.614,1,nan,0.00112239,0.00112239,0.00112239
35,4859.71,0.68632,0.612,1,nan,0.00110589,0.00110589,0.00110589
36,5010.73,0.69091,0.564,1,0.67926,0.00108938,0.00108938,0.00108938
37,5156.57,0.69301,0.6,1,0.6901,0.00107288,0.00107288,0.00107288
38,5300.68,0.6932,0.546,1,0.69151,0.00105638,0.00105638,0.00105638
39,5446.59,0.693,0.634,1,0.68834,0.00103987,0.00103987,0.00103987
40,5589.17,0.69323,0.64,1,0.68305,0.00102337,0.00102337,0.00102337
41,5733.29,0.69321,0.616,1,0.68577,0.00100687,0.00100687,0.00100687
42,5877.68,0.69262,0.606,1,0.67794,0.000990365,0.000990365,0.000990365
43,6817.86,0.69248,0.606,1,0.67508,0.000973861,0.000973861,0.000973861
44,6957.86,0.68988,0.668,1,0.64359,0.000957358,0.000957358,0.000957358
45,7097.13,0.69145,0.67,1,0.66286,0.000940855,0.000940855,0.000940855
46,7236.1,0.68717,0.676,1,0.62156,0.000924352,0.000924352,0.000924352
47,7377.36,0.68505,0.68,1,0.62008,0.000907848,0.000907848,0.000907848
48,7522.01,0.6871,0.672,1,0.62735,0.000891345,0.000891345,0.000891345
49,7669.04,0.68635,0.708,1,0.66471,0.000874842,0.000874842,0.000874842
50,7818,0.67526,0.78,1,0.54013,0.000858338,0.000858338,0.000858338
51,7963.4,0.6877,0.684,1,0.62639,0.000841835,0.000841835,0.000841835
52,8109.01,0.68191,0.71,1,0.60987,0.000825332,0.000825332,0.000825332
53,8252.83,0.67976,0.742,1,0.61894,0.000808828,0.000808828,0.000808828
54,8398.11,0.68177,0.782,1,0.58862,0.000792325,0.000792325,0.000792325
55,8541.97,0.68338,0.668,1,0.66804,0.000775822,0.000775822,0.000775822
56,8688.11,0.66796,0.728,1,0.64005,0.000759318,0.000759318,0.000759318
57,8834.2,0.67372,0.59,1,0.6342,0.000742815,0.000742815,0.000742815
58,8979.5,0.66869,0.508,1,0.66966,0.000726312,0.000726312,0.000726312
59,9125.16,0.65677,0.796,1,0.49007,0.000709809,0.000709809,0.000709809
60,9267.58,0.66345,0.712,1,0.63313,0.000693305,0.000693305,0.000693305
61,9408.98,0.65866,0.756,1,0.61413,0.000676802,0.000676802,0.000676802
62,9552.01,0.65569,0.744,1,0.63173,0.000660299,0.000660299,0.000660299
63,9694.99,0.6552,0.598,1,0.62439,0.000643795,0.000643795,0.000643795
64,9840.81,0.65663,0.588,1,0.65693,0.000627292,0.000627292,0.000627292
65,9986.08,0.63996,0.562,1,0.61325,0.000610789,0.000610789,0.000610789
66,10128.7,0.63909,0.632,1,0.62629,0.000594286,0.000594286,0.000594286
67,10270.4,0.6522,0.722,1,0.6191,0.000577782,0.000577782,0.000577782
68,10413.3,0.62163,0.702,1,0.6392,0.000561279,0.000561279,0.000561279
69,10553.3,0.60189,0.786,1,0.55014,0.000544776,0.000544776,0.000544776
70,10692,0.57378,0.774,1,0.52131,0.000528272,0.000528272,0.000528272
71,10833.2,0.57499,0.8,1,0.46376,0.000511769,0.000511769,0.000511769
72,10973.1,0.58171,0.724,1,0.5089,0.000495266,0.000495266,0.000495266
73,11111.5,0.54715,0.676,1,0.60226,0.000478762,0.000478762,0.000478762
74,11248.6,0.6118,0.734,1,0.50515,0.000462259,0.000462259,0.000462259
75,11383.7,0.60536,0.818,1,0.49679,0.000445756,0.000445756,0.000445756
76,11519.9,0.58303,0.68,1,0.55,0.000429253,0.000429253,0.000429253
77,11656.7,0.56198,0.706,1,0.57863,0.000412749,0.000412749,0.000412749
78,11793.3,0.52767,0.686,1,0.54437,0.000396246,0.000396246,0.000396246
79,11930.6,0.54571,0.704,1,0.52999,0.000379743,0.000379743,0.000379743
80,12069.4,0.50968,0.72,1,0.59406,0.000363239,0.000363239,0.000363239
81,12206.4,0.52302,0.766,1,0.4228,0.000346736,0.000346736,0.000346736
82,12344.3,0.50035,0.824,1,0.35891,0.000330233,0.000330233,0.000330233
83,12482.2,0.4995,0.742,1,0.45807,0.000313729,0.000313729,0.000313729
84,12620,0.48456,0.66,1,0.61104,0.000297226,0.000297226,0.000297226
85,12757.3,0.49844,0.654,1,0.56159,0.000280723,0.000280723,0.000280723
86,12894.2,0.47593,0.69,1,0.56093,0.00026422,0.00026422,0.00026422
87,13032.4,0.48348,0.688,1,0.5851,0.000247716,0.000247716,0.000247716
88,13168.8,0.45955,0.652,1,0.66914,0.000231213,0.000231213,0.000231213
89,13309.8,0.45169,0.666,1,0.65439,0.00021471,0.00021471,0.00021471
90,13449.4,0.4449,0.678,1,0.60006,0.000198206,0.000198206,0.000198206
91,13591.3,0.44219,0.716,1,0.59818,0.000181703,0.000181703,0.000181703
92,13732.3,0.43701,0.674,1,0.75427,0.0001652,0.0001652,0.0001652
93,13872.7,0.41526,0.714,1,0.62793,0.000148696,0.000148696,0.000148696
94,14013.7,0.40649,0.66,1,0.76265,0.000132193,0.000132193,0.000132193
95,14154.5,0.40099,0.712,1,0.69493,0.00011569,0.00011569,0.00011569
96,14294.6,0.39079,0.712,1,0.81264,9.91865e-05,9.91865e-05,9.91865e-05
97,14439.2,0.37923,0.72,1,0.80167,8.26832e-05,8.26832e-05,8.26832e-05
98,14580.8,0.38918,0.696,1,0.85092,6.61799e-05,6.61799e-05,6.61799e-05
99,14722.4,0.38079,0.7,1,0.80533,4.96766e-05,4.96766e-05,4.96766e-05
100,14863.6,0.38291,0.724,1,0.72034,3.31733e-05,3.31733e-05,3.31733e-05
