epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.0006,0.69793,0.669,1,nan,0.000554185,0.000554185,0.000554185
2,84.3919,0.6722,0.601,1,0.66848,0.00109886,0.00109886,0.00109886
3,126.289,0.58801,0.493,1,1.27376,0.00163254,0.00163254,0.00163254
4,166.075,0.39637,0.511,1,1.38329,0.00161749,0.00161749,0.00161749
5,206.079,0.3082,0.569,1,1.88828,0.00160099,0.00160099,0.00160099
6,246.629,0.28693,0.529,1,1.69528,0.00158448,0.00158448,0.00158448
7,287.125,0.2382,0.508,1,1.80671,0.00156798,0.00156798,0.00156798
8,328.259,0.22803,0.509,1,1.36862,0.00155148,0.00155148,0.00155148
9,367.734,0.2111,0.512,1,1.78914,0.00153497,0.00153497,0.00153497
10,407.243,0.21166,0.503,1,1.31105,0.00151847,0.00151847,0.00151847
11,446.416,0.21222,0.595,1,1.57204,0.00150197,0.00150197,0.00150197
12,485.734,0.15956,0.549,1,2.12795,0.00148546,0.00148546,0.00148546
13,525.027,0.18236,0.611,1,1.74071,0.00146896,0.00146896,0.00146896
14,565.241,0.15233,0.501,1,1.97784,0.00145246,0.00145246,0.00145246
15,605.007,0.15181,0.525,1,1.87914,0.00143595,0.00143595,0.00143595
16,645.225,0.20002,0.543,1,1.59993,0.00141945,0.00141945,0.00141945
17,684.808,0.15086,0.509,1,1.65537,0.00140295,0.00140295,0.00140295
18,724.286,0.14723,0.529,1,2.22418,0.00138644,0.00138644,0.00138644
19,764.228,0.13579,0.55,1,1.40999,0.00136994,0.00136994,0.00136994
20,803.938,0.11534,0.557,1,2.02403,0.00135344,0.00135344,0.00135344
21,843.588,0.14275,0.605,1,1.05299,0.00133693,0.00133693,0.00133693
22,883.36,0.15504,0.566,1,1.40093,0.00132043,0.00132043,0.00132043
23,923.475,0.14079,0.578,1,1.34726,0.00130393,0.00130393,0.00130393
24,963.766,0.11711,0.544,1,1.89203,0.00128742,0.00128742,0.00128742
25,1003.69,0.13542,0.578,1,1.64725,0.00127092,0.00127092,0.00127092
26,1043.2,0.13459,0.575,1,2.67529,0.00125442,0.00125442,0.00125442
27,1082.63,0.11877,0.612,1,2.21708,0.00123791,0.00123791,0.00123791
28,1121.96,0.11305,0.573,1,2.02737,0.00122141,0.00122141,0.00122141
