epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,60.0632,0.69443,0.53,1,0.68376,0.000554185,0.000554185,0.000554185
2,116.66,0.69362,0.5,1,0.69444,0.00109886,0.00109886,0.00109886
3,171.88,0.69539,0.5,1,0.69351,0.00163254,0.00163254,0.00163254
4,226.102,0.69661,0.565,1,0.68901,0.00161749,0.00161749,0.00161749
5,280.145,0.69417,0.577,1,0.68817,0.00160099,0.00160099,0.00160099
6,334.602,0.69353,0.562,1,0.69109,0.00158448,0.00158448,0.00158448
7,389.716,0.69225,0.691,1,0.63518,0.00156798,0.00156798,0.00156798
8,445.19,0.69224,0.693,1,0.65899,0.00155148,0.00155148,0.00155148
9,501.183,0.69112,0.5,1,0.6834,0.00153497,0.00153497,0.00153497
10,556.51,0.69064,0.637,1,0.65866,0.00151847,0.00151847,0.00151847
11,611.473,0.69017,0.58,1,0.67442,0.00150197,0.00150197,0.00150197
12,666.491,0.69323,0.5,1,0.6946,0.00148546,0.00148546,0.00148546
13,721.688,0.69471,0.494,1,0.69334,0.00146896,0.00146896,0.00146896
14,776.075,0.69262,0.5,1,0.70059,0.00145246,0.00145246,0.00145246
15,830.979,0.69116,0.677,1,0.6534,0.00143595,0.00143595,0.00143595
16,885.298,0.68581,0.53,1,0.69061,0.00141945,0.00141945,0.00141945
17,940.967,0.69117,0.573,1,0.67706,0.00140295,0.00140295,0.00140295
18,995.303,0.68632,0.574,1,0.67289,0.00138644,0.00138644,0.00138644
19,1049.73,0.68601,0.592,1,0.68078,0.00136994,0.00136994,0.00136994
20,1105.19,0.67428,0.574,1,0.6743,0.00135344,0.00135344,0.00135344
21,1160.15,0.67623,0.648,1,0.63768,0.00133693,0.00133693,0.00133693
22,1213.84,0.64824,0.669,1,0.56441,0.00132043,0.00132043,0.00132043
23,1268.33,0.64444,0.766,1,0.4799,0.00130393,0.00130393,0.00130393
24,1323.02,0.64266,0.688,1,0.55575,0.00128742,0.00128742,0.00128742
25,1377.18,0.61846,0.72,1,0.49551,0.00127092,0.00127092,0.00127092
26,1432.42,0.61351,0.697,1,0.44891,0.00125442,0.00125442,0.00125442
27,1487.89,0.5917,0.715,1,0.49562,0.00123791,0.00123791,0.00123791
28,1544.06,0.5787,0.665,1,0.51859,0.00122141,0.00122141,0.00122141
29,1600.4,0.56838,0.742,1,0.46388,0.00120491,0.00120491,0.00120491
30,1657.21,0.5521,0.648,1,0.55342,0.0011884,0.0011884,0.0011884
31,1714.04,0.52441,0.608,1,0.63288,0.0011719,0.0011719,0.0011719
32,1770.96,0.52883,0.645,1,0.63305,0.0011554,0.0011554,0.0011554
33,1827.13,0.50022,0.642,1,0.56312,0.00113889,0.00113889,0.00113889
34,1884.17,0.47324,0.655,1,0.56409,0.00112239,0.00112239,0.00112239
35,1942.66,0.45849,0.636,1,0.74966,0.00110589,0.00110589,0.00110589
36,1999.27,0.4537,0.771,1,0.49919,0.00108938,0.00108938,0.00108938
37,2056.04,0.4246,0.632,1,0.67032,0.00107288,0.00107288,0.00107288
38,2110.13,0.41226,0.639,1,0.64567,0.00105638,0.00105638,0.00105638
39,2164.54,0.38956,0.609,1,0.74484,0.00103987,0.00103987,0.00103987
40,2218.88,0.38742,0.578,1,0.79277,0.00102337,0.00102337,0.00102337
41,2272.6,0.37855,0.603,1,0.8781,0.00100687,0.00100687,0.00100687
42,2326.8,0.3508,0.633,1,0.84999,0.000990365,0.000990365,0.000990365
43,2380.56,0.32959,0.607,1,0.99897,0.000973861,0.000973861,0.000973861
44,2434.93,0.31539,0.601,1,1.06777,0.000957358,0.000957358,0.000957358
45,2489.25,0.30825,0.657,1,0.77761,0.000940855,0.000940855,0.000940855
46,2542.94,0.31383,0.579,1,1.14327,0.000924352,0.000924352,0.000924352
47,2596.13,0.30118,0.624,1,0.80425,0.000907848,0.000907848,0.000907848
48,2650.41,0.28321,0.6,1,1.17927,0.000891345,0.000891345,0.000891345
49,2703.87,0.25672,0.622,1,0.97785,0.000874842,0.000874842,0.000874842
50,2757.35,0.24337,0.585,1,1.06686,0.000858338,0.000858338,0.000858338
51,2811.74,0.24664,0.63,1,0.97894,0.000841835,0.000841835,0.000841835
52,2865.73,0.25402,0.604,1,1.2847,0.000825332,0.000825332,0.000825332
53,2919.95,0.24323,0.606,1,1.24013,0.000808828,0.000808828,0.000808828
54,2974.81,0.24634,0.656,1,0.99804,0.000792325,0.000792325,0.000792325
55,3028.91,0.21015,0.632,1,0.93695,0.000775822,0.000775822,0.000775822
56,3082.76,0.24214,0.651,1,0.72952,0.000759318,0.000759318,0.000759318
57,3136.61,0.2047,0.648,1,0.9728,0.000742815,0.000742815,0.000742815
58,3190.69,0.19506,0.617,1,0.99718,0.000726312,0.000726312,0.000726312
59,3245.07,0.19813,0.616,1,1.15151,0.000709809,0.000709809,0.000709809
60,3299.68,0.18584,0.666,1,1.02141,0.000693305,0.000693305,0.000693305
61,3353.67,0.18967,0.622,1,1.05412,0.000676802,0.000676802,0.000676802
