epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8765.27,3.61313,4.94284,3.93134,0.34414,0.39286,0.28705,0.15489,4.41361,5.31312,4.84855,0.000990365,0.000990365,0.000990365
43,8971.8,3.57456,4.87881,3.89352,0.36393,0.29762,0.27459,0.14163,4.60989,6.05017,5.06711,0.000973861,0.000973861,0.000973861
44,9180.62,3.56352,4.83819,3.85705,0.28774,0.38315,0.25424,0.12763,4.52721,5.51279,5.01275,0.000957358,0.000957358,0.000957358
45,9388.79,3.55165,4.85067,3.87914,0.44095,0.22222,0.25252,0.1339,4.62164,5.83903,5.02037,0.000940855,0.000940855,0.000940855
46,9596.85,3.5138,4.80932,3.85816,0.39026,0.41071,0.33107,0.18562,4.20779,5.16274,4.86232,0.000924352,0.000924352,0.000924352
47,9806.75,3.54581,4.81175,3.85325,0.40847,0.31548,0.31718,0.17109,4.49549,5.4463,5.0061,0.000907848,0.000907848,0.000907848
48,10017.6,3.53337,4.75825,3.85717,0.34971,0.41721,0.34298,0.18022,4.57639,5.52441,5.04336,0.000891345,0.000891345,0.000891345
49,10227.7,3.51082,4.72363,3.82923,0.45551,0.28716,0.30465,0.16968,4.40829,5.34517,5.07979,0.000874842,0.000874842,0.000874842
50,10442.1,3.53621,4.73326,3.82675,0.43269,0.32341,0.3382,0.17819,4.5757,5.39912,5.13411,0.000858338,0.000858338,0.000858338
51,10652.7,3.52849,4.70973,3.83176,0.39467,0.3254,0.28576,0.14735,4.50691,5.65612,5.17997,0.000841835,0.000841835,0.000841835
52,10867.1,3.43976,4.65853,3.77026,0.42259,0.28571,0.26967,0.1417,4.4131,5.45192,5.10007,0.000825332,0.000825332,0.000825332
53,11080,3.48752,4.68325,3.803,0.41108,0.30556,0.25996,0.14604,4.46767,5.58062,5.14212,0.000808828,0.000808828,0.000808828
54,11289.4,3.42198,4.67194,3.78169,0.50486,0.31746,0.31606,0.17591,4.3866,5.35517,4.9993,0.000792325,0.000792325,0.000792325
55,11500.8,3.45795,4.615,3.76434,0.39591,0.35317,0.28241,0.15485,4.48676,5.31938,5.12179,0.000775822,0.000775822,0.000775822
56,11712.5,3.41591,4.61152,3.76248,0.45535,0.31548,0.30559,0.14737,4.64505,5.4019,5.202,0.000759318,0.000759318,0.000759318
57,11918.5,3.39818,4.57054,3.72093,0.34534,0.38095,0.28903,0.16409,4.24629,5.29775,4.9672,0.000742815,0.000742815,0.000742815
58,12130.9,3.4216,4.53871,3.73664,0.41766,0.27183,0.23855,0.11966,4.64297,5.65761,5.21578,0.000726312,0.000726312,0.000726312
59,12341.8,3.40956,4.56646,3.73551,0.41822,0.32937,0.27156,0.13003,4.63765,5.42559,5.22082,0.000709809,0.000709809,0.000709809
60,12554.9,3.35276,4.49223,3.71721,0.44135,0.29762,0.248,0.12609,4.65205,5.56756,5.23489,0.000693305,0.000693305,0.000693305
61,12768.6,3.36031,4.45658,3.69106,0.32487,0.40673,0.27548,0.12653,4.76627,5.56657,5.43158,0.000676802,0.000676802,0.000676802
62,12982.5,3.35425,4.48855,3.69792,0.49148,0.33333,0.30277,0.15312,4.61837,5.29213,5.18667,0.000660299,0.000660299,0.000660299
63,13194.4,3.31703,4.4146,3.66121,0.3382,0.40476,0.29596,0.15261,4.77317,5.28332,5.40572,0.000643795,0.000643795,0.000643795
64,13406.7,3.32592,4.45795,3.66857,0.42591,0.34325,0.29599,0.15869,4.41672,5.3046,5.24579,0.000627292,0.000627292,0.000627292
65,13615.3,3.30444,4.43885,3.67764,0.31337,0.41667,0.26986,0.14605,4.65915,5.34606,5.36185,0.000610789,0.000610789,0.000610789
66,13826.4,3.27328,4.37139,3.61894,0.32485,0.44444,0.27554,0.15271,4.58087,5.43697,5.2801,0.000594286,0.000594286,0.000594286
67,14031.3,3.27494,4.36462,3.64368,0.35251,0.40675,0.27417,0.13635,4.6351,5.38136,5.38504,0.000577782,0.000577782,0.000577782
68,14240.5,3.24851,4.31521,3.61215,0.34972,0.44048,0.31611,0.16043,4.67816,5.31227,5.38342,0.000561279,0.000561279,0.000561279
69,14447.6,3.26919,4.30925,3.60973,0.31819,0.44444,0.26688,0.12752,4.78206,5.61227,5.43346,0.000544776,0.000544776,0.000544776
70,14652.2,3.26924,4.35227,3.62161,0.28181,0.45635,0.24785,0.13279,4.55044,5.55916,5.28848,0.000528272,0.000528272,0.000528272
71,14861.2,3.20807,4.31172,3.61151,0.3545,0.40752,0.27542,0.14549,4.58581,5.34727,5.37603,0.000511769,0.000511769,0.000511769
72,15071.1,3.23577,4.26695,3.60385,0.38441,0.40476,0.28579,0.13143,4.98827,5.47183,5.53582,0.000495266,0.000495266,0.000495266
73,15282.8,3.216,4.25618,3.58541,0.31232,0.41903,0.25413,0.12567,4.73641,5.51559,5.32202,0.000478762,0.000478762,0.000478762
74,15492.7,3.22887,4.2429,3.5879,0.37849,0.43849,0.30914,0.15402,4.72126,5.28269,5.36815,0.000462259,0.000462259,0.000462259
75,15704.6,3.20544,4.25924,3.57754,0.35108,0.47619,0.27004,0.13522,4.63187,5.27904,5.30322,0.000445756,0.000445756,0.000445756
76,15912.5,3.18058,4.26091,3.54061,0.34732,0.40079,0.28075,0.14747,4.74671,5.31889,5.38295,0.000429253,0.000429253,0.000429253
77,16120.5,3.18671,4.19482,3.53871,0.36535,0.41667,0.28413,0.13249,4.85139,5.28649,5.42798,0.000412749,0.000412749,0.000412749
78,16335.9,3.16661,4.20535,3.53597,0.33151,0.47421,0.2852,0.13953,4.74374,5.39971,5.41071,0.000396246,0.000396246,0.000396246
79,16545.2,3.17726,4.2014,3.55155,0.33736,0.46569,0.28285,0.13897,4.74431,5.46866,5.37703,0.000379743,0.000379743,0.000379743
80,16748,3.1199,4.14557,3.51548,0.3389,0.40873,0.26814,0.14118,4.82999,5.3902,5.47267,0.000363239,0.000363239,0.000363239
81,16954.9,3.12352,4.17167,3.5051,0.34701,0.50595,0.28222,0.14534,4.52921,5.35263,5.26436,0.000346736,0.000346736,0.000346736
82,17164.5,3.11094,4.15095,3.48222,0.3372,0.4504,0.28765,0.14901,4.59855,5.32891,5.28937,0.000330233,0.000330233,0.000330233
83,17375.6,3.12055,4.11484,3.51975,0.35407,0.48413,0.29836,0.16009,4.35092,5.14566,5.22473,0.000313729,0.000313729,0.000313729
84,17579.7,3.07516,4.06933,3.47459,0.34016,0.4504,0.26846,0.14122,4.63938,5.36424,5.47032,0.000297226,0.000297226,0.000297226
85,17784.5,3.07744,4.05078,3.4736,0.32998,0.42857,0.24559,0.12559,4.79085,5.52568,5.52678,0.000280723,0.000280723,0.000280723
86,17991.8,3.09552,4.04536,3.4858,0.3333,0.4623,0.28724,0.14472,4.65609,5.34985,5.38781,0.00026422,0.00026422,0.00026422
87,18201.7,3.07542,4.04258,3.47074,0.39456,0.49008,0.29492,0.14297,4.57382,5.26099,5.32458,0.000247716,0.000247716,0.000247716
88,18407.4,3.05663,4.01726,3.45324,0.3567,0.45238,0.2742,0.12077,4.88876,5.41027,5.59768,0.000231213,0.000231213,0.000231213
89,18612.8,3.05016,3.9588,3.44699,0.38684,0.45833,0.28211,0.13812,4.72602,5.27202,5.46971,0.00021471,0.00021471,0.00021471
90,18818.3,3.0671,4.04384,3.46455,0.36426,0.46627,0.28386,0.14459,4.6267,5.29208,5.39456,0.000198206,0.000198206,0.000198206
91,19031,3.05687,3.81705,3.5004,0.34715,0.48214,0.27947,0.13983,4.62924,5.28979,5.41575,0.000181703,0.000181703,0.000181703
92,19243.2,3.04854,3.7484,3.47927,0.35163,0.47619,0.28848,0.14306,4.5687,5.24837,5.38926,0.0001652,0.0001652,0.0001652
93,19450.7,3.05512,3.73858,3.50096,0.36327,0.48611,0.29274,0.15091,4.53836,5.11971,5.25875,0.000148696,0.000148696,0.000148696
94,19664,3.03053,3.70174,3.48305,0.35357,0.42063,0.29281,0.15207,4.56909,5.18931,5.20448,0.000132193,0.000132193,0.000132193
95,19880.4,2.99193,3.66647,3.46555,0.37103,0.46429,0.2894,0.1452,4.50045,5.17112,5.23168,0.00011569,0.00011569,0.00011569
96,20088.8,3.0053,3.65974,3.46205,0.37713,0.49206,0.30614,0.16258,4.47869,5.03161,5.26477,9.91865e-05,9.91865e-05,9.91865e-05
97,20299.8,2.99902,3.64764,3.45111,0.37455,0.48611,0.29939,0.15291,4.54234,5.0557,5.27824,8.26832e-05,8.26832e-05,8.26832e-05
98,20511.3,2.97398,3.63561,3.43722,0.38173,0.48413,0.3068,0.15337,4.55733,4.98537,5.28891,6.61799e-05,6.61799e-05,6.61799e-05
99,20720.7,2.9624,3.60312,3.4309,0.38251,0.46627,0.30524,0.15261,4.51963,5.04317,5.23274,4.96766e-05,4.96766e-05,4.96766e-05
100,20930.1,2.97781,3.59037,3.41987,0.36986,0.46429,0.30683,0.14939,4.59137,5.03071,5.29152,3.31733e-05,3.31733e-05,3.31733e-05
