epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.6075,0.70629,0.497,1,0.70702,0.000554185,0.000554185,0.000554185
2,88.0859,0.69347,0.502,1,0.82994,0.00109886,0.00109886,0.00109886
3,130.223,0.69597,0.5,1,0.69348,0.00163254,0.00163254,0.00163254
4,171.691,0.69412,0.5,1,0.69324,0.00161749,0.00161749,0.00161749
5,213.846,0.69185,0.5,1,0.69345,0.00160099,0.00160099,0.00160099
6,255.583,0.67855,0.48,1,0.70019,0.00158448,0.00158448,0.00158448
7,297.733,0.69084,0.742,1,0.5972,0.00156798,0.00156798,0.00156798
8,340.166,0.67935,0.675,1,0.64778,0.00155148,0.00155148,0.00155148
9,382.047,0.66564,0.796,1,0.55097,0.00153497,0.00153497,0.00153497
10,424.383,0.65703,0.718,1,0.60299,0.00151847,0.00151847,0.00151847
11,466.749,0.65964,0.64,1,0.616,0.00150197,0.00150197,0.00150197
12,509.287,0.63189,0.775,1,0.5304,0.00148546,0.00148546,0.00148546
13,551.343,0.613,0.657,1,0.5863,0.00146896,0.00146896,0.00146896
14,593.136,0.60882,0.641,1,0.56119,0.00145246,0.00145246,0.00145246
15,635.275,0.58672,0.624,1,0.61303,0.00143595,0.00143595,0.00143595
16,677.401,0.58809,0.757,1,0.51995,0.00141945,0.00141945,0.00141945
17,719.41,0.57848,0.767,1,0.47349,0.00140295,0.00140295,0.00140295
18,761.236,0.56392,0.744,1,0.47619,0.00138644,0.00138644,0.00138644
19,803.092,0.55943,0.682,1,0.45375,0.00136994,0.00136994,0.00136994
20,845.63,0.54898,0.729,1,0.436,0.00135344,0.00135344,0.00135344
21,887.436,0.556,0.755,1,0.44899,0.00133693,0.00133693,0.00133693
22,930.048,0.51468,0.766,1,0.46971,0.00132043,0.00132043,0.00132043
23,972.174,0.50218,0.733,1,0.48786,0.00130393,0.00130393,0.00130393
24,1014.54,0.48339,0.792,1,0.44639,0.00128742,0.00128742,0.00128742
25,1056.57,0.45686,0.559,1,1.07089,0.00127092,0.00127092,0.00127092
26,1098.55,0.42983,0.593,1,0.88278,0.00125442,0.00125442,0.00125442
27,1140.11,0.3592,0.587,1,0.90607,0.00123791,0.00123791,0.00123791
28,1181.75,0.35758,0.59,1,1.2484,0.00122141,0.00122141,0.00122141
29,1223.64,0.31126,0.57,1,1.50623,0.00120491,0.00120491,0.00120491
30,1265.57,0.30122,0.56,1,0.93051,0.0011884,0.0011884,0.0011884
31,1307.68,0.27945,0.538,1,1.29568,0.0011719,0.0011719,0.0011719
32,1350.11,0.2745,0.531,1,1.75482,0.0011554,0.0011554,0.0011554
33,1392.01,0.24942,0.561,1,1.18383,0.00113889,0.00113889,0.00113889
34,1434.2,0.22621,0.586,1,0.95401,0.00112239,0.00112239,0.00112239
35,1475.85,0.21954,0.533,1,1.48384,0.00110589,0.00110589,0.00110589
36,1517.83,0.23026,0.532,1,1.83496,0.00108938,0.00108938,0.00108938
37,1559.67,0.19906,0.58,1,1.36637,0.00107288,0.00107288,0.00107288
38,1600.96,0.20292,0.574,1,1.50015,0.00105638,0.00105638,0.00105638
39,1642.87,0.19011,0.574,1,1.45631,0.00103987,0.00103987,0.00103987
40,1684.9,0.17395,0.585,1,1.16743,0.00102337,0.00102337,0.00102337
41,1727.06,0.18605,0.538,1,1.60438,0.00100687,0.00100687,0.00100687
42,1768.78,0.1843,0.567,1,1.59297,0.000990365,0.000990365,0.000990365
43,1810.79,0.17797,0.53,1,1.48932,0.000973861,0.000973861,0.000973861
44,1853.95,0.15652,0.561,1,1.33722,0.000957358,0.000957358,0.000957358
45,1895.43,0.13834,0.535,1,1.81675,0.000940855,0.000940855,0.000940855
46,1936.71,0.15622,0.635,1,1.00284,0.000924352,0.000924352,0.000924352
47,1977.79,0.16677,0.552,1,1.74773,0.000907848,0.000907848,0.000907848
48,2019.39,0.15619,0.536,1,1.73272,0.000891345,0.000891345,0.000891345
49,2060.88,0.14536,0.606,1,1.12268,0.000874842,0.000874842,0.000874842
50,2102.39,0.13497,0.562,1,1.18989,0.000858338,0.000858338,0.000858338
51,2143.72,0.15301,0.583,1,1.15627,0.000841835,0.000841835,0.000841835
52,2185.3,0.13794,0.551,1,1.43327,0.000825332,0.000825332,0.000825332
53,2226.78,0.11446,0.596,1,1.44031,0.000808828,0.000808828,0.000808828
54,2268.91,0.14524,0.554,1,1.44051,0.000792325,0.000792325,0.000792325
55,2310.93,0.13609,0.561,1,1.31272,0.000775822,0.000775822,0.000775822
56,2352.93,0.13734,0.576,1,1.29152,0.000759318,0.000759318,0.000759318
57,2395.1,0.13438,0.573,1,1.25181,0.000742815,0.000742815,0.000742815
58,2437.23,0.15011,0.589,1,1.38461,0.000726312,0.000726312,0.000726312
59,2479.54,0.12639,0.681,1,1.09573,0.000709809,0.000709809,0.000709809
60,2521.4,0.12559,0.615,1,1.60622,0.000693305,0.000693305,0.000693305
61,2563.18,0.1383,0.58,1,1.31067,0.000676802,0.000676802,0.000676802
62,2605.1,0.10225,0.591,1,1.42462,0.000660299,0.000660299,0.000660299
63,2647.32,0.09252,0.592,1,2.151,0.000643795,0.000643795,0.000643795
64,2689.09,0.10899,0.577,1,1.82377,0.000627292,0.000627292,0.000627292
65,2731.02,0.11079,0.583,1,1.53618,0.000610789,0.000610789,0.000610789
66,2773.24,0.1045,0.584,1,1.50989,0.000594286,0.000594286,0.000594286
67,2815.04,0.10086,0.614,1,1.25394,0.000577782,0.000577782,0.000577782
68,2856.94,0.10173,0.591,1,1.8186,0.000561279,0.000561279,0.000561279
69,2898.82,0.08617,0.64,1,1.55163,0.000544776,0.000544776,0.000544776
70,2940.46,0.1067,0.619,1,1.69716,0.000528272,0.000528272,0.000528272
71,2982.48,0.1082,0.622,1,1.38607,0.000511769,0.000511769,0.000511769
72,3024.24,0.08342,0.635,1,1.50413,0.000495266,0.000495266,0.000495266
73,3066.53,0.0981,0.594,1,1.51225,0.000478762,0.000478762,0.000478762
74,3108.88,0.10184,0.596,1,1.6159,0.000462259,0.000462259,0.000462259
75,3151.25,0.10697,0.616,1,1.41998,0.000445756,0.000445756,0.000445756
76,3193.82,0.09594,0.622,1,1.56004,0.000429253,0.000429253,0.000429253
77,3235.99,0.09162,0.61,1,1.52132,0.000412749,0.000412749,0.000412749
78,3277.7,0.08291,0.661,1,1.34154,0.000396246,0.000396246,0.000396246
79,3319.57,0.08506,0.597,1,1.58143,0.000379743,0.000379743,0.000379743
80,3361.54,0.09221,0.606,1,1.55019,0.000363239,0.000363239,0.000363239
81,3403.65,0.08611,0.625,1,1.87049,0.000346736,0.000346736,0.000346736
82,3446.04,0.07713,0.656,1,1.74938,0.000330233,0.000330233,0.000330233
83,3487.88,0.07345,0.632,1,1.62089,0.000313729,0.000313729,0.000313729
84,3529.47,0.07756,0.668,1,1.36937,0.000297226,0.000297226,0.000297226
85,3571.11,0.09173,0.681,1,1.30859,0.000280723,0.000280723,0.000280723
86,3612.68,0.07828,0.647,1,1.69314,0.00026422,0.00026422,0.00026422
87,3655.94,0.09704,0.632,1,1.60133,0.000247716,0.000247716,0.000247716
88,3697.52,0.07464,0.665,1,1.35011,0.000231213,0.000231213,0.000231213
89,3739.23,0.0664,0.638,1,1.65403,0.00021471,0.00021471,0.00021471
90,3780.73,0.08139,0.67,1,1.2969,0.000198206,0.000198206,0.000198206
91,3823.7,0.07404,0.666,1,1.35335,0.000181703,0.000181703,0.000181703
92,3865.38,0.06622,0.655,1,1.57762,0.0001652,0.0001652,0.0001652
93,3907.08,0.06273,0.678,1,1.32714,0.000148696,0.000148696,0.000148696
94,3948.97,0.07546,0.678,1,1.48229,0.000132193,0.000132193,0.000132193
95,3991.18,0.06341,0.67,1,1.31035,0.00011569,0.00011569,0.00011569
96,4033.29,0.07271,0.662,1,1.4295,9.91865e-05,9.91865e-05,9.91865e-05
97,4075.41,0.07278,0.66,1,1.46003,8.26832e-05,8.26832e-05,8.26832e-05
98,4117.69,0.0662,0.69,1,1.24554,6.61799e-05,6.61799e-05,6.61799e-05
99,4159.7,0.05631,0.677,1,1.31075,4.96766e-05,4.96766e-05,4.96766e-05
100,4201.58,0.06643,0.682,1,1.27964,3.31733e-05,3.31733e-05,3.31733e-05
