epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.573,2.00969,3.30397,2.06544,0.01536,0.64392,0.23274,0.12913,1.38125,3.24669,1.51679,0.00010002,0.00010002,0.00010002
2,221.837,1.74179,3.00056,1.84784,0.01572,0.62018,0.24926,0.14157,1.39055,3.16638,1.47839,0.000209559,0.000209559,0.000209559
3,325.052,1.82211,2.57276,1.91067,0.82156,0.11573,0.29617,0.17805,1.43095,2.98934,1.51465,0.000311396,0.000311396,0.000311396
4,441.34,1.72675,2.44015,1.84918,0.87187,0.10089,0.30365,0.17632,1.50897,2.96712,1.56298,0.000405531,0.000405531,0.000405531
5,533.594,1.74263,2.34592,1.78777,0.6066,0.13056,0.24437,0.13308,1.63821,2.91996,1.6616,0.000491965,0.000491965,0.000491965
6,623.783,1.61264,2.23881,1.7307,0.50636,0.29829,0.30678,0.16399,1.70285,2.62744,1.76448,0.000570697,0.000570697,0.000570697
7,709.434,1.77678,2.31027,1.85053,0.52476,0.37092,0.35159,0.20255,1.64188,2.35407,1.74142,0.000641728,0.000641728,0.000641728
8,815.893,1.6345,2.06912,1.72723,0.54136,0.37982,0.38292,0.2313,1.5434,2.17794,1.66281,0.000705058,0.000705058,0.000705058
9,922.412,1.68773,2.20796,1.74951,0.53483,0.39235,0.34445,0.19115,1.58994,2.49549,1.75247,0.000760685,0.000760685,0.000760685
10,1033.05,1.60361,2.13011,1.67851,0.50301,0.39763,0.35829,0.20247,1.64599,2.55243,1.83359,0.000808612,0.000808612,0.000808612
11,1146.3,1.6456,2.17302,1.74914,0.53637,0.38872,0.36277,0.2145,1.60409,2.25432,1.75073,0.000848836,0.000848836,0.000848836
12,1269.25,1.62838,2.2195,1.71591,0.54085,0.32047,0.32653,0.18197,1.76756,2.28769,1.74675,0.00088136,0.00088136,0.00088136
13,1389.96,1.66758,2.12667,1.7405,0.49214,0.41246,0.37749,0.21625,1.73495,2.16157,1.76545,0.000906181,0.000906181,0.000906181
