epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.6019,0.69029,0.638,1,0.65718,0.000554185,0.000554185,0.000554185
2,67.4502,0.49069,0.499,1,1.63276,0.00109886,0.00109886,0.00109886
3,101.833,0.35729,0.557,1,1.6551,0.00163254,0.00163254,0.00163254
4,135.431,0.30585,0.563,1,1.76001,0.00161749,0.00161749,0.00161749
5,168.875,0.27513,0.584,1,1.31441,0.00160099,0.00160099,0.00160099
6,203.106,0.23943,0.508,1,1.52365,0.00158448,0.00158448,0.00158448
7,236.834,0.21347,0.518,1,1.73377,0.00156798,0.00156798,0.00156798
8,268.674,0.2003,0.545,1,1.78353,0.00155148,0.00155148,0.00155148
9,300.622,0.22674,0.573,1,1.36134,0.00153497,0.00153497,0.00153497
10,332.459,0.17989,0.5,1,1.7394,0.00151847,0.00151847,0.00151847
11,364.098,0.20223,0.498,1,1.92609,0.00150197,0.00150197,0.00150197
12,395.659,0.17368,0.545,1,1.73388,0.00148546,0.00148546,0.00148546
13,427.84,0.16283,0.519,1,2.47629,0.00146896,0.00146896,0.00146896
14,460.06,0.15019,0.53,1,2.03032,0.00145246,0.00145246,0.00145246
15,492.433,0.16323,0.637,1,1.00098,0.00143595,0.00143595,0.00143595
16,524.657,0.12893,0.501,1,2.39917,0.00141945,0.00141945,0.00141945
17,556.625,0.15675,0.534,1,2.14605,0.00140295,0.00140295,0.00140295
18,588.584,0.13293,0.554,1,1.72147,0.00138644,0.00138644,0.00138644
19,620.616,0.11615,0.616,1,1.44958,0.00136994,0.00136994,0.00136994
20,651.09,0.12473,0.576,1,1.26522,0.00135344,0.00135344,0.00135344
21,682.826,0.12054,0.509,1,2.34577,0.00133693,0.00133693,0.00133693
22,714.476,0.12119,0.65,1,1.20843,0.00132043,0.00132043,0.00132043
23,746.109,0.11567,0.608,1,1.35294,0.00130393,0.00130393,0.00130393
24,778.084,0.11675,0.525,1,2.22383,0.00128742,0.00128742,0.00128742
25,810.137,0.10413,0.532,1,1.93956,0.00127092,0.00127092,0.00127092
26,842.2,0.12451,0.503,1,1.81051,0.00125442,0.00125442,0.00125442
27,873.678,0.10428,0.595,1,1.4682,0.00123791,0.00123791,0.00123791
28,905.546,0.10064,0.532,1,1.81384,0.00122141,0.00122141,0.00122141
29,937.141,0.10323,0.588,1,1.8251,0.00120491,0.00120491,0.00120491
30,968.755,0.12236,0.577,1,1.5208,0.0011884,0.0011884,0.0011884
31,1001.17,0.11019,0.698,1,1.04767,0.0011719,0.0011719,0.0011719
32,1032.86,0.1,0.586,1,1.96163,0.0011554,0.0011554,0.0011554
33,1064.8,0.08731,0.643,1,1.59342,0.00113889,0.00113889,0.00113889
34,1096.38,0.10048,0.642,1,1.20863,0.00112239,0.00112239,0.00112239
35,1127.65,0.09921,0.599,1,1.40547,0.00110589,0.00110589,0.00110589
36,1159.05,0.09954,0.565,1,2.03161,0.00108938,0.00108938,0.00108938
37,1189.46,0.09192,0.668,1,1.21262,0.00107288,0.00107288,0.00107288
38,1221.12,0.09392,0.574,1,1.48047,0.00105638,0.00105638,0.00105638
39,1253.33,0.09531,0.663,1,1.36726,0.00103987,0.00103987,0.00103987
40,1285.07,0.0911,0.575,1,1.3806,0.00102337,0.00102337,0.00102337
41,1316.67,0.09886,0.555,1,1.53234,0.00100687,0.00100687,0.00100687
42,1348.1,0.09865,0.614,1,1.38285,0.000990365,0.000990365,0.000990365
43,1379.92,0.09767,0.589,1,1.46792,0.000973861,0.000973861,0.000973861
44,1411.7,0.08738,0.655,1,1.65442,0.000957358,0.000957358,0.000957358
45,1443.88,0.07394,0.642,1,1.21149,0.000940855,0.000940855,0.000940855
