epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.006,0.69756,0.4625,1,0.75931,0.000554555,0.000554555,0.000554555
2,145.195,0.69192,0.56,1,nan,0.00109923,0.00109923,0.00109923
3,216.235,0.69924,0.5775,1,nan,0.0016329,0.0016329,0.0016329
4,286.586,0.69142,0.5325,1,0.67387,0.00161749,0.00161749,0.00161749
5,357.589,0.70106,0.475,1,0.70131,0.00160099,0.00160099,0.00160099
6,428.052,0.69545,0.54,1,0.69562,0.00158448,0.00158448,0.00158448
7,498.589,0.69348,0.4675,1,0.69603,0.00156798,0.00156798,0.00156798
8,569.784,0.69358,0.475,1,0.6938,0.00155148,0.00155148,0.00155148
9,641.989,0.69221,0.5725,1,0.68171,0.00153497,0.00153497,0.00153497
10,714.503,0.69315,0.5975,1,nan,0.00151847,0.00151847,0.00151847
11,785.654,0.69294,0.6025,1,nan,0.00150197,0.00150197,0.00150197
12,857.214,0.69118,0.6825,1,nan,0.00148546,0.00148546,0.00148546
13,929.596,0.68937,0.65,1,nan,0.00146896,0.00146896,0.00146896
14,1001.41,0.69089,0.63,1,0.65202,0.00145246,0.00145246,0.00145246
15,1073.83,0.6889,0.6025,1,0.67005,0.00143595,0.00143595,0.00143595
16,1146.32,0.69304,0.6675,1,0.66607,0.00141945,0.00141945,0.00141945
17,1217.51,0.68859,0.74,1,0.6456,0.00140295,0.00140295,0.00140295
18,1289.51,0.69414,0.57,1,0.67556,0.00138644,0.00138644,0.00138644
19,1361.19,0.68552,0.52,1,0.70198,0.00136994,0.00136994,0.00136994
20,1432.33,0.69162,0.55,1,0.68444,0.00135344,0.00135344,0.00135344
21,1503.7,0.68544,0.595,1,nan,0.00133693,0.00133693,0.00133693
22,1576.29,0.68919,0.5975,1,nan,0.00132043,0.00132043,0.00132043
23,1649.01,0.69033,0.575,1,nan,0.00130393,0.00130393,0.00130393
24,1719.85,0.69381,0.6025,1,0.65767,0.00128742,0.00128742,0.00128742
25,1792.2,0.69386,0.57,1,nan,0.00127092,0.00127092,0.00127092
26,1864.29,0.69325,0.5875,1,nan,0.00125442,0.00125442,0.00125442
27,1936.83,0.69296,0.59,1,nan,0.00123791,0.00123791,0.00123791
28,2008.5,0.6897,0.6025,1,nan,0.00122141,0.00122141,0.00122141
29,2080.65,0.68206,0.6,1,nan,0.00120491,0.00120491,0.00120491
30,2151.91,0.6852,0.6125,1,nan,0.0011884,0.0011884,0.0011884
31,2224.4,0.68698,0.6275,1,nan,0.0011719,0.0011719,0.0011719
32,2297.2,0.69141,0.5625,1,nan,0.0011554,0.0011554,0.0011554
33,2368.7,0.68958,0.57,1,nan,0.00113889,0.00113889,0.00113889
34,2440.49,0.68606,0.5625,1,0.67506,0.00112239,0.00112239,0.00112239
