epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.802,0.69093,0.553,1,0.68411,0.000554185,0.000554185,0.000554185
2,81.2877,0.69279,0.514,1,0.70386,0.00109886,0.00109886,0.00109886
3,120.547,0.69389,0.49,1,0.69628,0.00163254,0.00163254,0.00163254
4,159.033,0.68776,0.612,1,0.66276,0.00161749,0.00161749,0.00161749
5,197.186,0.65397,0.57,1,0.71537,0.00160099,0.00160099,0.00160099
6,235.647,0.54192,0.484,1,1.46385,0.00158448,0.00158448,0.00158448
7,274.161,0.38616,0.5,1,0.93645,0.00156798,0.00156798,0.00156798
8,312.985,0.34872,0.56,1,0.87145,0.00155148,0.00155148,0.00155148
9,351.338,0.35293,0.515,1,1.19081,0.00153497,0.00153497,0.00153497
10,390.189,0.31686,0.538,1,0.78479,0.00151847,0.00151847,0.00151847
11,428.066,0.31092,0.548,1,1.26158,0.00150197,0.00150197,0.00150197
12,465.774,0.23844,0.562,1,1.35328,0.00148546,0.00148546,0.00148546
13,504.377,0.22008,0.586,1,1.29167,0.00146896,0.00146896,0.00146896
14,543.247,0.20984,0.547,1,2.02402,0.00145246,0.00145246,0.00145246
15,581.419,0.21076,0.502,1,1.6686,0.00143595,0.00143595,0.00143595
16,619.842,0.20881,0.535,1,1.64643,0.00141945,0.00141945,0.00141945
17,658.231,0.18517,0.539,1,1.96715,0.00140295,0.00140295,0.00140295
18,696.111,0.14723,0.54,1,1.86793,0.00138644,0.00138644,0.00138644
19,733.691,0.15746,0.573,1,1.75284,0.00136994,0.00136994,0.00136994
20,772.058,0.14904,0.547,1,1.70147,0.00135344,0.00135344,0.00135344
21,810.716,0.17303,0.516,1,1.66004,0.00133693,0.00133693,0.00133693
22,848.952,0.1565,0.502,1,1.59113,0.00132043,0.00132043,0.00132043
23,887.097,0.15257,0.546,1,1.18609,0.00130393,0.00130393,0.00130393
24,925.688,0.1488,0.557,1,1.7866,0.00128742,0.00128742,0.00128742
25,964.937,0.12139,0.55,1,1.48918,0.00127092,0.00127092,0.00127092
26,1003.16,0.14932,0.537,1,1.89829,0.00125442,0.00125442,0.00125442
27,1041.24,0.12629,0.549,1,1.78585,0.00123791,0.00123791,0.00123791
28,1078.79,0.12498,0.55,1,1.72014,0.00122141,0.00122141,0.00122141
29,1116.77,0.10826,0.513,1,2.19595,0.00120491,0.00120491,0.00120491
30,1154.89,0.15318,0.575,1,1.63106,0.0011884,0.0011884,0.0011884
31,1193.14,0.12796,0.538,1,1.87326,0.0011719,0.0011719,0.0011719
32,1231.32,0.13849,0.54,1,1.90838,0.0011554,0.0011554,0.0011554
33,1269.06,0.09974,0.54,1,1.652,0.00113889,0.00113889,0.00113889
