epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.579,6.58083,7.94646,7.57249,0.00259,0.77183,0.0052,0.00113,5.80313,9.35533,6.77965,0.000555111,0.000555111,0.000555111
2,463.016,5.32006,6.75289,5.9763,0.00248,0.7381,0.00772,0.0018,5.35533,8.922,5.76073,0.00109978,0.00109978,0.00109978
3,697.94,4.96689,6.48349,5.45605,0.03873,0.31548,0.05586,0.01736,5.23393,8.1664,5.64564,0.00163345,0.00163345,0.00163345
4,929.909,4.7104,6.30632,5.19747,0.30166,0.05754,0.07062,0.02077,5.03824,8.30692,5.79334,0.00161749,0.00161749,0.00161749
5,1166.01,4.50117,6.13636,5.01377,0.27245,0.0873,0.0898,0.03229,4.75335,7.85181,5.57202,0.00160099,0.00160099,0.00160099
6,1401.92,4.39623,6.02701,4.90304,0.12673,0.11706,0.09798,0.03202,4.6419,7.0096,5.41338,0.00158448,0.00158448,0.00158448
7,1642.49,4.31304,5.88325,4.81234,0.24277,0.1746,0.14242,0.06361,4.5235,7.20184,5.19526,0.00156798,0.00156798,0.00156798
8,1886.22,4.2532,5.80569,4.71869,0.37377,0.21553,0.18717,0.08705,4.49465,6.23022,5.23356,0.00155148,0.00155148,0.00155148
9,2121.56,4.17278,5.75948,4.64014,0.24002,0.16865,0.12575,0.04936,4.53157,7.02917,5.27741,0.00153497,0.00153497,0.00153497
10,2352.5,4.11751,5.70985,4.60718,0.37953,0.25,0.20435,0.08584,4.54586,6.38264,5.22292,0.00151847,0.00151847,0.00151847
11,2582.91,4.03148,5.52425,4.5423,0.40423,0.25595,0.24721,0.1226,4.27919,5.7035,5.19638,0.00150197,0.00150197,0.00150197
12,2815.75,4.01902,5.51721,4.51771,0.41661,0.27183,0.26573,0.13004,4.6227,5.80284,5.31768,0.00148546,0.00148546,0.00148546
13,3050.64,4.01711,5.47268,4.4938,0.39885,0.29356,0.29355,0.13714,4.43645,5.85522,5.20793,0.00146896,0.00146896,0.00146896
14,3281.98,3.91815,5.33444,4.42154,0.5476,0.24206,0.28975,0.15058,4.43376,6.36589,5.31357,0.00145246,0.00145246,0.00145246
15,3515.52,3.89214,5.33962,4.40239,0.28822,0.37103,0.28148,0.14285,4.54309,5.73924,5.33797,0.00143595,0.00143595,0.00143595
16,3751.21,3.85697,5.30483,4.36597,0.34956,0.34921,0.28521,0.11079,4.65086,6.10436,5.31206,0.00141945,0.00141945,0.00141945
17,3980.3,3.84092,5.25196,4.33992,0.36782,0.32738,0.25708,0.13527,4.34343,5.58294,5.04765,0.00140295,0.00140295,0.00140295
18,4213.33,3.83549,5.21582,4.32954,0.40818,0.36111,0.3268,0.16955,4.34955,5.44151,5.09686,0.00138644,0.00138644,0.00138644
19,4446.55,3.83451,5.24806,4.30961,0.3228,0.34325,0.31489,0.13068,4.64769,5.70554,5.33638,0.00136994,0.00136994,0.00136994
20,4682.75,3.77791,5.14952,4.29506,0.35209,0.40476,0.34346,0.17626,4.45817,5.3315,5.2513,0.00135344,0.00135344,0.00135344
21,4913.51,3.73511,5.03033,4.24228,0.37355,0.38889,0.3273,0.17059,4.42984,5.25972,5.11767,0.00133693,0.00133693,0.00133693
22,5143.42,3.70007,5.06754,4.21631,0.57178,0.30754,0.34411,0.19089,4.55175,5.4381,5.31487,0.00132043,0.00132043,0.00132043
23,5379.42,3.71018,5.01609,4.22652,0.44941,0.38868,0.35641,0.18519,4.32008,5.55167,5.14474,0.00130393,0.00130393,0.00130393
24,5613.6,3.69814,4.9628,4.17149,0.42362,0.38095,0.34312,0.17522,4.3982,5.34925,5.10326,0.00128742,0.00128742,0.00128742
25,5850.08,3.67673,4.95224,4.19538,0.31977,0.36111,0.26478,0.13943,4.54425,5.50301,5.30538,0.00127092,0.00127092,0.00127092
26,6086.4,3.63959,4.9426,4.17411,0.33893,0.40278,0.28689,0.16104,4.4587,5.39156,5.11681,0.00125442,0.00125442,0.00125442
27,6320.37,3.58808,4.83385,4.10788,0.32599,0.38889,0.29538,0.15376,4.54676,5.69131,5.30298,0.00123791,0.00123791,0.00123791
28,6552.74,3.57258,4.84549,4.1097,0.30554,0.38095,0.27712,0.1464,4.55417,5.48856,5.25205,0.00122141,0.00122141,0.00122141
29,6787.31,3.51843,4.7841,4.0272,0.47362,0.46417,0.37519,0.20845,4.28341,5.14232,5.06266,0.00120491,0.00120491,0.00120491
30,7021.49,3.53519,4.77125,4.05617,0.40806,0.40278,0.31405,0.18041,4.32712,5.21187,5.03042,0.0011884,0.0011884,0.0011884
31,7257.66,3.49938,4.69971,4.0094,0.3707,0.31206,0.23835,0.11421,4.66803,6.02942,5.30936,0.0011719,0.0011719,0.0011719
32,7495.31,3.50965,4.72787,4.01893,0.33395,0.38897,0.27065,0.15922,4.52508,5.70805,5.18553,0.0011554,0.0011554,0.0011554
33,7730.35,3.5144,4.7436,4.02388,0.37989,0.375,0.24762,0.1423,4.50118,5.44921,5.36032,0.00113889,0.00113889,0.00113889
34,7968.82,3.46394,4.62596,3.97139,0.31493,0.42659,0.2588,0.13898,4.3275,5.84953,5.17472,0.00112239,0.00112239,0.00112239
35,8200.59,3.43719,4.6289,3.93781,0.31007,0.3631,0.2766,0.14326,4.67515,5.41959,5.52441,0.00110589,0.00110589,0.00110589
36,8432.54,3.45035,4.62626,3.96448,0.33543,0.42063,0.25887,0.14034,4.51249,5.30305,5.19664,0.00108938,0.00108938,0.00108938
37,8665.77,3.42834,4.55245,3.95222,0.42966,0.31944,0.32822,0.19044,4.45456,5.44034,5.23846,0.00107288,0.00107288,0.00107288
38,8905.17,3.40708,4.53671,3.92648,0.38539,0.43651,0.31244,0.18533,4.39256,5.28224,5.24052,0.00105638,0.00105638,0.00105638
39,9142.14,3.38404,4.49059,3.91929,0.30943,0.4623,0.28273,0.16396,4.30332,5.51929,5.11043,0.00103987,0.00103987,0.00103987
40,9380.22,3.37364,4.51976,3.92301,0.34921,0.42262,0.3021,0.18123,4.37158,5.20325,5.23245,0.00102337,0.00102337,0.00102337
41,9613.89,3.39366,4.52877,3.90924,0.328,0.43056,0.25594,0.14311,4.51805,5.60529,5.38538,0.00100687,0.00100687,0.00100687
42,9846,3.36064,4.49905,3.91101,0.33119,0.40873,0.27151,0.14281,4.49775,5.41885,5.19521,0.000990365,0.000990365,0.000990365
43,10074.7,3.35703,4.45604,3.88793,0.34599,0.49206,0.28488,0.16392,4.49382,5.76679,5.46969,0.000973861,0.000973861,0.000973861
44,10309.1,3.30851,4.42137,3.82467,0.36016,0.40675,0.27578,0.16504,4.50004,5.29748,5.34716,0.000957358,0.000957358,0.000957358
45,10540.1,3.31343,4.40429,3.86002,0.34058,0.43849,0.23777,0.11963,4.60371,5.44025,5.33076,0.000940855,0.000940855,0.000940855
46,10772.5,3.29296,4.40691,3.85425,0.34369,0.46429,0.25645,0.13262,4.40852,5.41356,5.29262,0.000924352,0.000924352,0.000924352
47,11009.8,3.31483,4.43133,3.84467,0.32519,0.41865,0.27321,0.15891,4.55661,5.53165,5.29561,0.000907848,0.000907848,0.000907848
48,11245.1,3.28672,4.39209,3.81794,0.36827,0.44444,0.27005,0.146,4.55075,5.36073,5.33103,0.000891345,0.000891345,0.000891345
49,11481.4,3.28247,4.34159,3.82694,0.3251,0.44841,0.26137,0.14864,4.39593,5.36333,5.19985,0.000874842,0.000874842,0.000874842
50,11712.3,3.30453,4.3631,3.82529,0.34484,0.42713,0.27313,0.15342,4.53339,5.71131,5.43685,0.000858338,0.000858338,0.000858338
51,11942,3.30585,4.31841,3.83286,0.35237,0.41865,0.25662,0.13428,4.52702,5.40006,5.41698,0.000841835,0.000841835,0.000841835
52,12176.1,3.21193,4.28493,3.75739,0.35579,0.44643,0.28555,0.16864,4.2933,5.36315,5.10352,0.000825332,0.000825332,0.000825332
53,12404.7,3.24867,4.29789,3.77014,0.35729,0.4412,0.2372,0.12995,4.38422,5.41483,5.39028,0.000808828,0.000808828,0.000808828
54,12638.9,3.24802,4.28336,3.80327,0.34529,0.47817,0.27396,0.15735,4.44677,5.51662,5.19953,0.000792325,0.000792325,0.000792325
55,12872.4,3.25996,4.25254,3.77472,0.36442,0.42063,0.25965,0.14732,4.43731,5.38922,5.50958,0.000775822,0.000775822,0.000775822
56,13106.9,3.20293,4.24895,3.76272,0.33514,0.39881,0.26239,0.14245,4.65949,5.57558,5.53618,0.000759318,0.000759318,0.000759318
57,13344.4,3.1762,4.18305,3.71976,0.35831,0.44643,0.26201,0.15019,4.46792,5.54374,5.45772,0.000742815,0.000742815,0.000742815
58,13575.7,3.17123,4.18407,3.70847,0.35459,0.43849,0.26432,0.15348,4.43285,5.36314,5.46947,0.000726312,0.000726312,0.000726312
59,13807.6,3.18468,4.18055,3.72477,0.34528,0.39087,0.27577,0.1466,4.86415,5.39438,5.82032,0.000709809,0.000709809,0.000709809
60,14041.5,3.14224,4.14275,3.7339,0.40739,0.29563,0.26596,0.15672,4.63068,5.68265,5.52874,0.000693305,0.000693305,0.000693305
61,14272,3.13134,4.08939,3.68897,0.32895,0.43281,0.25649,0.14556,4.56213,5.51223,5.46113,0.000676802,0.000676802,0.000676802
62,14505,3.15226,4.12192,3.7055,0.3867,0.44643,0.32005,0.18578,4.55976,5.42099,5.40284,0.000660299,0.000660299,0.000660299
63,14736.8,3.11485,4.05807,3.67367,0.3781,0.48413,0.29141,0.15627,4.67169,5.44203,5.66561,0.000643795,0.000643795,0.000643795
64,14966.2,3.11334,4.14035,3.6874,0.35589,0.44246,0.28359,0.16378,4.64643,5.35451,5.70904,0.000627292,0.000627292,0.000627292
65,15199.7,3.07697,4.09521,3.66226,0.37676,0.44444,0.28837,0.16603,4.69479,5.38749,5.73715,0.000610789,0.000610789,0.000610789
66,15429.8,3.08787,4.06627,3.6473,0.36847,0.45833,0.26178,0.14679,4.51399,5.55622,5.4545,0.000594286,0.000594286,0.000594286
67,15664.7,3.05561,4.01614,3.62379,0.35191,0.40675,0.26598,0.15474,4.60145,5.43879,5.48861,0.000577782,0.000577782,0.000577782
68,15898.1,3.05068,3.98847,3.62273,0.36566,0.48214,0.28499,0.14423,4.71422,5.4799,5.69188,0.000561279,0.000561279,0.000561279
69,16132.6,3.06183,3.9893,3.59855,0.38362,0.46825,0.29029,0.14657,4.64431,5.2805,5.51656,0.000544776,0.000544776,0.000544776
70,16368.9,3.04896,4.04649,3.62796,0.36554,0.45833,0.28191,0.15621,4.581,5.4278,5.62685,0.000528272,0.000528272,0.000528272
71,16600.9,3.01535,4.01849,3.61437,0.3628,0.42063,0.2555,0.14739,4.67124,5.26265,5.73139,0.000511769,0.000511769,0.000511769
72,16834.3,3.02744,3.96008,3.60711,0.38341,0.41468,0.2637,0.14291,4.744,5.61983,5.79894,0.000495266,0.000495266,0.000495266
73,17067.8,3.03601,3.95633,3.60692,0.37851,0.45635,0.28007,0.156,4.59596,5.39983,5.56452,0.000478762,0.000478762,0.000478762
74,17302.5,3.00651,3.92568,3.57446,0.34976,0.43452,0.27946,0.14856,4.89831,5.42439,5.81904,0.000462259,0.000462259,0.000462259
75,17530.6,3.01169,3.95653,3.57929,0.37648,0.4623,0.29454,0.16192,4.65173,5.43715,5.59633,0.000445756,0.000445756,0.000445756
76,17775.3,2.96376,3.94343,3.54616,0.3482,0.4623,0.27523,0.15054,4.73061,5.20799,5.68484,0.000429253,0.000429253,0.000429253
77,18012,2.98923,3.8948,3.5395,0.39453,0.49405,0.29993,0.15206,4.74761,5.27555,5.69215,0.000412749,0.000412749,0.000412749
78,18254.3,2.98162,3.89652,3.54774,0.37796,0.47619,0.28819,0.15099,4.72705,5.28074,5.75494,0.000396246,0.000396246,0.000396246
79,18493.8,2.98556,3.90166,3.55415,0.38157,0.4623,0.28175,0.15076,4.73355,5.53325,5.67065,0.000379743,0.000379743,0.000379743
80,18730.8,2.92059,3.82985,3.50995,0.40197,0.45635,0.30006,0.1576,4.66508,5.36892,5.66813,0.000363239,0.000363239,0.000363239
81,18969.7,2.92619,3.86209,3.51309,0.3807,0.50397,0.30826,0.16769,4.64523,5.28456,5.59547,0.000346736,0.000346736,0.000346736
82,19203.9,2.89756,3.85634,3.48593,0.37519,0.48491,0.28369,0.14888,4.80073,5.23113,5.89466,0.000330233,0.000330233,0.000330233
83,19440.2,2.92028,3.79673,3.52392,0.40759,0.50237,0.31125,0.16066,4.73637,5.32258,5.67997,0.000313729,0.000313729,0.000313729
84,19677.5,2.8749,3.75934,3.47674,0.37741,0.45437,0.29128,0.15752,4.73144,5.51657,5.79749,0.000297226,0.000297226,0.000297226
85,19912.8,2.90952,3.73948,3.48526,0.38092,0.47421,0.28358,0.15739,4.79331,5.29905,5.75402,0.000280723,0.000280723,0.000280723
86,20148.2,2.87454,3.76146,3.47795,0.40086,0.45833,0.30107,0.15682,4.87631,5.30297,5.79187,0.00026422,0.00026422,0.00026422
87,20384.5,2.89819,3.71736,3.49929,0.40945,0.51587,0.30908,0.15985,4.65828,5.35267,5.6925,0.000247716,0.000247716,0.000247716
88,20618.5,2.87643,3.71704,3.45524,0.37589,0.45833,0.26738,0.13504,4.79318,5.52182,5.819,0.000231213,0.000231213,0.000231213
89,20855.6,2.84146,3.66326,3.42932,0.38017,0.46825,0.2803,0.15137,4.74723,5.38893,5.78066,0.00021471,0.00021471,0.00021471
90,21093.8,2.88456,3.74062,3.4649,0.37827,0.4881,0.28943,0.15519,4.74507,5.44344,5.65875,0.000198206,0.000198206,0.000198206
91,21328.1,2.8399,3.54572,3.47256,0.40138,0.47817,0.29754,0.15983,4.69013,5.35941,5.6107,0.000181703,0.000181703,0.000181703
92,21568.2,2.86068,3.49263,3.49316,0.41416,0.49008,0.30423,0.15777,4.73925,5.27185,5.64216,0.0001652,0.0001652,0.0001652
93,21807.5,2.83133,3.46047,3.47412,0.40941,0.48279,0.29737,0.15477,4.76754,5.24365,5.63793,0.000148696,0.000148696,0.000148696
94,22039.4,2.82722,3.45663,3.47616,0.39296,0.4881,0.30056,0.15972,4.73223,5.37996,5.65072,0.000132193,0.000132193,0.000132193
95,22276.3,2.79865,3.40465,3.45064,0.42941,0.48214,0.30301,0.16073,4.73128,5.35637,5.60529,0.00011569,0.00011569,0.00011569
96,22514.3,2.78245,3.38599,3.43095,0.40631,0.47817,0.29975,0.16257,4.71135,5.27557,5.58677,9.91865e-05,9.91865e-05,9.91865e-05
97,22755,2.79517,3.38294,3.43061,0.41342,0.48413,0.28807,0.15262,4.76665,5.38607,5.63934,8.26832e-05,8.26832e-05,8.26832e-05
98,22986.7,2.76541,3.39981,3.4238,0.43056,0.48157,0.30438,0.16102,4.74938,5.17124,5.65836,6.61799e-05,6.61799e-05,6.61799e-05
99,23224.3,2.76201,3.35494,3.41272,0.41796,0.48016,0.29849,0.15779,4.75627,5.24371,5.67544,4.96766e-05,4.96766e-05,4.96766e-05
100,23460.7,2.76257,3.3223,3.4026,0.41274,0.48016,0.29849,0.15935,4.7638,5.28452,5.70703,3.31733e-05,3.31733e-05,3.31733e-05
