epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7617,3.37982,8.40628,3.77083,0.03997,0.28994,0.0451,0.02213,3.35107,9.75719,3.74048,5.001e-05,5.001e-05,5.001e-05
2,126.247,3.3129,7.9912,3.65861,0.06169,0.36686,0.07747,0.04637,3.2163,9.6108,3.60991,0.000112839,0.000112839,0.000112839
3,196.502,3.96867,8.0055,4.14592,0.03983,0.43787,0.09729,0.06924,3.10854,9.53569,3.51781,0.000171268,0.000171268,0.000171268
4,246.458,3.0364,7.43401,3.47616,0.02635,0.50296,0.09542,0.05988,3.15431,9.45827,3.50451,0.000225295,0.000225295,0.000225295
5,293.991,4.1108,9.63862,4.45212,0.02588,0.53254,0.09165,0.05659,3.15892,9.44884,3.39653,0.000274922,0.000274922,0.000274922
6,356.064,3.28478,7.25701,3.55065,0.02762,0.55621,0.10956,0.06954,3.22343,9.44416,3.44974,0.000320147,0.000320147,0.000320147
7,406.616,3.41966,8.08156,3.61323,0.02934,0.52071,0.13284,0.07672,3.26933,9.43853,3.50669,0.000360972,0.000360972,0.000360972
8,458.767,3.17721,6.74888,3.38232,0.0339,0.48521,0.14365,0.07785,3.50133,9.47324,3.72805,0.000397396,0.000397396,0.000397396
9,505.488,3.33044,6.74399,3.55793,0.03541,0.4497,0.13541,0.07937,3.49801,9.4547,3.73903,0.000429419,0.000429419,0.000429419
10,555.426,3.37937,6.81211,3.56576,0.0346,0.50296,0.17363,0.1031,3.26633,9.19344,3.59014,0.000457041,0.000457041,0.000457041
11,606.867,3.33186,6.87306,3.57118,0.03049,0.53254,0.1895,0.10635,3.33831,9.10695,3.64794,0.000480263,0.000480263,0.000480263
12,655.392,3.42432,6.38029,3.46494,0.02751,0.54438,0.17045,0.08311,3.60282,9.12716,3.79953,0.000499083,0.000499083,0.000499083
13,705.2,3.07116,5.96625,3.3757,0.02245,0.57396,0.18484,0.09839,3.41695,8.88924,3.65186,0.000513503,0.000513503,0.000513503
14,750.938,3.24046,6.46583,3.46573,0.01944,0.56805,0.20052,0.11888,3.31659,8.73015,3.54782,0.000523521,0.000523521,0.000523521
15,799.27,2.99392,5.88166,3.26106,0.01771,0.59172,0.24799,0.14938,3.21908,8.54167,3.45403,0.000529139,0.000529139,0.000529139
16,847.464,3.41967,6.28934,3.55857,0.43391,0.26036,0.23669,0.15081,3.18118,8.4393,3.38456,0.000530356,0.000530356,0.000530356
17,897.247,3.58615,6.67311,3.56513,0.36015,0.27811,0.2267,0.14898,3.18674,8.41884,3.42188,0.000527172,0.000527172,0.000527172
18,944.641,3.35921,6.44291,3.54536,0.51726,0.23461,0.2667,0.16708,3.11476,8.32209,3.35299,0.000519587,0.000519587,0.000519587
19,995.951,2.99208,5.77903,3.28271,1,0.04658,0.27457,0.17113,3.17744,8.29028,3.38251,0.000507602,0.000507602,0.000507602
20,1044,3.08845,5.87225,3.395,0.82562,0.08284,0.27722,0.16895,3.09891,8.12273,3.34682,0.000491215,0.000491215,0.000491215
21,1088.69,3.02073,6.41786,3.15961,0.75533,0.25444,0.35506,0.22911,3.05395,7.56948,3.24205,0.000470427,0.000470427,0.000470427
22,1137.16,3.39412,7.16058,3.82553,0.66571,0.26627,0.35569,0.24626,2.98564,7.39575,3.20471,0.000445239,0.000445239,0.000445239
23,1186.51,3.07514,7.06587,3.54045,0.64607,0.28402,0.35896,0.25568,2.91091,7.34943,3.12845,0.00041565,0.00041565,0.00041565
24,1233.09,3.06304,6.85005,3.25062,0.71642,0.27219,0.37647,0.27177,2.90516,7.32023,3.07746,0.00038166,0.00038166,0.00038166
25,1282.51,3.54928,7.0356,3.79029,0.76095,0.24852,0.39253,0.2875,2.75711,7.2589,2.93938,0.000343269,0.000343269,0.000343269
26,1334.4,3.04167,6.28823,3.41124,0.81389,0.28465,0.41156,0.3005,2.6741,7.08918,2.88495,0.000291725,0.000291725,0.000291725
27,1381.46,2.64063,6.99703,3.26443,0.77511,0.32632,0.43799,0.32174,2.58668,6.93503,2.84033,0.000236714,0.000236714,0.000236714
28,1422.98,2.70833,6.03718,3.16899,0.77554,0.37278,0.45841,0.33959,2.52785,6.76832,2.81327,0.000181703,0.000181703,0.000181703
29,1468.74,3.16977,6.46481,3.3613,0.7333,0.39645,0.47575,0.36637,2.4594,6.58981,2.77566,0.000126692,0.000126692,0.000126692
30,1516.71,2.24624,5.67423,2.75726,0.72742,0.40828,0.47251,0.37543,2.39704,6.44662,2.73105,7.1681e-05,7.1681e-05,7.1681e-05
