epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.186,6.50156,9.46416,8.22347,0.00114,0.26128,0.00168,0.00036,6.87332,8.44777,8.10524,0.000551221,0.000551221,0.000551221
2,269.787,6.06843,7.42261,7.29445,0.00176,0.28741,0.00177,0.00044,nan,nan,nan,0.00108497,0.00108497,0.00108497
3,402.381,5.7438,7.10691,6.63774,0.0021,0.05701,0.00163,0.00047,nan,nan,nan,0.00159672,0.00159672,0.00159672
4,535.415,5.69405,6.99269,6.37212,0.00404,0.019,0.00239,0.00049,5.94255,22.7054,6.28478,0.00156798,0.00156798,0.00156798
5,667.921,5.59811,6.85299,6.21119,0.00127,0.36105,0.00133,0.00034,6.09128,14.1305,6.42841,0.00153497,0.00153497,0.00153497
6,800.677,5.39236,6.86506,6.0147,0.00159,0.45368,0.00122,0.00031,5.64495,11.0905,6.05008,0.00150197,0.00150197,0.00150197
7,933.33,5.26521,6.81588,5.95932,0.00184,0.52494,0.00183,0.00054,5.3794,10.5436,5.92808,0.00146896,0.00146896,0.00146896
8,1065.68,5.25062,6.85163,5.88269,0.00162,0.32304,0.00139,0.00037,nan,nan,nan,0.00143595,0.00143595,0.00143595
9,1198.11,5.19249,6.83365,5.81556,0.00214,0.60808,0.0024,0.00064,5.49909,9.52712,5.98323,0.00140295,0.00140295,0.00140295
10,1330.86,5.07283,6.8211,5.73502,0.00225,0.63658,0.00534,0.00129,5.4279,9.54849,5.95602,0.00136994,0.00136994,0.00136994
11,1463.89,5.00569,6.79458,5.67854,0.0025,0.70071,0.00366,0.00093,5.12649,9.33047,5.81087,0.00133693,0.00133693,0.00133693
12,1596.79,4.88069,6.77391,5.60203,0.00257,0.71734,0.0046,0.0012,5.09233,9.51741,5.81155,0.00130393,0.00130393,0.00130393
13,1729.58,4.83431,6.73386,5.55934,0.00254,0.70784,0.00415,0.00101,5.12743,9.14034,5.80997,0.00127092,0.00127092,0.00127092
14,1862.6,4.78523,6.74424,5.50109,0.00274,0.77197,0.00459,0.00127,4.94063,8.88862,5.63136,0.00123791,0.00123791,0.00123791
15,1995.66,4.65922,6.61697,5.40264,0.06617,0.038,0.01367,0.00345,4.89707,9.24152,5.55475,0.00120491,0.00120491,0.00120491
16,2128.62,4.61078,6.59444,5.38475,0.00302,0.84086,0.00832,0.00233,4.84641,8.33422,5.57852,0.0011719,0.0011719,0.0011719
