epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,6479.7,0.07729,0.69,1,0.99648,0.000396246,0.000396246,0.000396246
79,6516.61,0.06119,0.69,1,1.09208,0.000379743,0.000379743,0.000379743
80,6553.9,0.06115,0.612,1,1.17386,0.000363239,0.000363239,0.000363239
81,6591.45,0.04592,0.683,1,1.19246,0.000346736,0.000346736,0.000346736
82,6627.66,0.05534,0.669,1,1.04923,0.000330233,0.000330233,0.000330233
83,6663.75,0.04676,0.685,1,1.22569,0.000313729,0.000313729,0.000313729
84,6700.35,0.06608,0.665,1,1.19977,0.000297226,0.000297226,0.000297226
85,6736.78,0.05437,0.69,1,1.04157,0.000280723,0.000280723,0.000280723
86,6773.26,0.0628,0.685,1,1.13365,0.00026422,0.00026422,0.00026422
87,6809.89,0.04553,0.645,1,1.49209,0.000247716,0.000247716,0.000247716
88,6845.91,0.04595,0.724,1,0.98458,0.000231213,0.000231213,0.000231213
89,6881.6,0.04487,0.741,1,0.94553,0.00021471,0.00021471,0.00021471
90,6921.64,0.04207,0.731,1,1.08988,0.000198206,0.000198206,0.000198206
91,6958.35,0.04419,0.727,1,1.051,0.000181703,0.000181703,0.000181703
92,6994.8,0.04402,0.714,1,1.03235,0.0001652,0.0001652,0.0001652
93,7031.21,0.03752,0.761,1,0.91732,0.000148696,0.000148696,0.000148696
94,7067.12,0.04063,0.723,1,1.13783,0.000132193,0.000132193,0.000132193
95,7103.15,0.05192,0.726,1,1.0623,0.00011569,0.00011569,0.00011569
96,7138.91,0.03641,0.741,1,1.06062,9.91865e-05,9.91865e-05,9.91865e-05
97,7175.08,0.0469,0.689,1,1.1999,8.26832e-05,8.26832e-05,8.26832e-05
98,7211.07,0.03499,0.705,1,1.18479,6.61799e-05,6.61799e-05,6.61799e-05
99,7247.02,0.03922,0.678,1,1.22077,4.96766e-05,4.96766e-05,4.96766e-05
100,7283.61,0.0339,0.679,1,1.23556,3.31733e-05,3.31733e-05,3.31733e-05
